"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC104879287",755.008818633154,0.352926826998453,0.247487809496955,1.42603721660398,0.15385759965028,0.250455569174745
"LOC100259472",315.282998595449,-0.255125310243381,0.375118773325798,-0.680118747407503,0.496429274768884,0.618280305583186
"LOC100257674",1079.29874760563,0.63473179483013,0.212587867223995,2.985738570684,0.00282894376467721,0.00890163819767785
"LOC104879282",598.601694530341,-1.51984951185137,0.261687918616394,-5.8078703819694,6.3272468682711e-09,6.76340269582898e-08
"LOC100254292",3478.26712433447,0.197667119404358,0.193377968424134,1.02218014293551,0.306695647247079,0.430751741139071
"AP1",245.437320765081,-0.940502968085879,0.33948557348011,-2.77037683352686,0.00559914719314804,0.0159560316199042
"LOC100232936",21.1196558215459,-3.03159917151467,0.950160542243946,-3.19061783428209,0.00141968934735928,0.00487692433757325
"TRNAI-AAU",14.3627294609437,2.20870300444348,1.06046090981117,2.0827764456087,0.0372716055506663,0.0792551093892255
"LOC100266436",200.212198687571,0.501851041564353,0.340835589742063,1.47241384605446,0.140909156418628,0.233361197493838
"LOC100245772",1390.73773753763,-0.689985145069219,0.264818928033047,-2.6054978403323,0.00917408519325547,0.0243609299525339
"LOC100261225",7.09525129570502,0.147894214793518,1.48517656876774,0.0995802235933647,0.920677595059011,0.949435255946789
"LOC100268093",83.34760966388,-1.15020618772927,0.515069291998461,-2.23310961378903,0.0255417167845671,0.0579655641542301
"LOC100256140",2463.90461241499,-0.70636111963406,0.255567781755697,-2.76388954343739,0.00571168705090331,0.0162208473196752
"LOC100257818",21.9590841494909,-0.311730267108416,0.825696876344496,-0.377535965121366,0.705775342085574,0.793265836509825
"LOC100250986",2654.60181643069,0.906790184311379,0.22281333260075,4.06973036005982,4.70675805146825e-05,0.000241197379550116
"LOC100252672",450.829020002266,-0.299760209950117,0.26732328142716,-1.12133970655225,0.26214329008761,0.38184875427691
"LOC100247573",1597.79398147131,0.712878361092826,0.20353452475747,3.50249355455683,0.000460924935227277,0.00181578920019933
"LOC100245849",1774.0501636908,-0.48763075609705,0.233368064299886,-2.08953507653227,0.03665958386256,0.0782181678115502
"LOC100242441",481.656724156662,-1.58196701547618,0.262692810126912,-6.0221176769623,1.72149654642999e-09,1.99870163134231e-08
"LOC100259261",839.946413570583,0.166302194110033,0.232275810498543,0.71596863122807,0.474010718512672,0.597162242898386
"LOC100267868",2201.94952730984,0.722571948576894,0.230219039073674,3.13862811470452,0.00169740716647952,0.00570167629808551
"LOC100249034",104.871570685705,-0.404058390409405,0.461947070751343,-0.874685469381191,0.381745068508324,0.509593652772904
"LOC100257592",5104.03752473139,-0.0804448452936822,0.209969253463475,-0.383126786263856,0.701625759584743,0.79031154192866
"LOC100262720",352.418275900436,0.479223968544552,0.267859942554172,1.78908411603065,0.0736012698426297,0.138664620890167
"LOC100266204",2512.51762651572,0.872613453421764,0.23271659565524,3.74968296079109,0.000177058276665774,0.000779125244647839
"LOC100250757",1353.65154836226,-1.90975446601208,0.287450910958337,-6.64375861480182,3.0578321324101e-11,4.49833135008217e-10
"LOC100245623",2018.75030411763,-0.473151981665154,0.204266352898307,-2.3163481158383,0.0205392691880613,0.048197455889066
"LOC100854554",1585.59633003169,-1.6067470262959,0.201976871958065,-7.95510402116485,1.78981067979768e-15,3.98831828647831e-14
