"","Row.names","AF_A","AF_B","CO_A","CO_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","18Srrn",26543.4493060171,22784.8387413663,44568.8849393519,63772.9720360226,39417.5362556895,1.13510816310268,0.24273807243744,4.6762675162761,2.92143452202623e-06,1.95800111245334e-05
"2","5Srrn",297.161361809,303.455150079694,742.546957711302,1414.25244381918,689.353978354794,1.84432152277229,0.334694120630217,5.51046884032353,3.57879162931659e-08,3.43175952934043e-07
"3","APX",12194.2922902819,5742.43270342066,19883.5023838459,24549.1134411192,15592.3352046669,1.3087349630566,0.336482279041949,3.88946177725288,0.000100466790155653,0.000473079893744588
"4","CBL04",2347.93064016153,1400.37089749892,5762.48574137318,6629.09186319162,4034.96978555631,1.72520375713591,0.281825738754144,6.12152660279522,9.26830405407361e-10,1.1221091111456e-08
"5","CHI4D",120.99983594618,69.6454442805855,193.957396991051,222.81691563845,151.854898214067,1.1299411852261,0.398232134695511,2.8373932859287,0.00454835483159962,0.0133976272476584
"6","CIPK11",3571.27456976445,2311.56546016991,6595.69917460101,7064.33526835066,4885.71861822151,1.21547483392163,0.258552093434152,4.70108293372292,2.58785376390107e-06,1.75890150749685e-05
"7","CIPK13",9865.04544831795,7466.98656179706,24939.0191515712,28558.6634308204,17707.4286481267,1.62606392728319,0.2252315806634,7.21952011566833,5.21713511741339e-13,9.0649224142931e-12
"8","ETR1",1520.50529141192,915.340124830552,2629.32778997928,2492.54777649437,1889.43024567903,1.07248423586067,0.281811980809118,3.80567296245332,0.000141419145472485,0.000641243631783908
"9","FLS1",326.52161611947,282.727339281901,1156.85832051467,1429.26083710053,798.842028254142,2.08601320533194,0.246426497757913,8.46505235561648,2.56037650327342e-17,6.57967355665268e-16
"10","GFH2",1671.75508634464,1057.94746311937,3359.25030173258,4566.01503290192,2663.74197102463,1.53789018612434,0.288673699673158,5.32743435881265,9.96097592203097e-08,8.88559869482983e-07
"11","GRIP32",41390.8409403542,25382.4479905458,56453.0792934486,83007.9597637543,51558.5819970257,1.062526726365,0.298360744263094,3.56121489436982,0.000369142799336531,0.00148920045919085
"12","GRIP55",6253.73416813013,3910.92334132764,11075.0821358795,12489.2921936619,8432.25795974981,1.21310314645595,0.267142670147037,4.54103099960876,5.59797989833007e-06,3.55009145373089e-05
"13","HSP101",8428.17239645706,2945.00735815047,15446.5834680625,21202.241739379,12005.5012405122,1.68814797399651,0.73133984818423,2.3082948073838,0.0209827450602262,0.0490297603636621
"14","LOC100232858",6276.86648970807,5201.85139781421,11899.1141538652,14132.1340120739,9377.49151336535,1.18131391160371,0.214686946173638,5.50249529679493,3.74453219035479e-08,3.58007638469731e-07
"15","LOC100232872",32808.7496349362,21101.7405045855,48847.4244422078,60814.0095760156,40892.9810394363,1.02442874546835,0.267180966907969,3.83421303292615,0.000125966936166148,0.000577773791491406
"16","LOC100232920",10276.9787133406,7928.8021863719,17615.6928190275,24434.8187538228,15064.0731181407,1.20774635830455,0.250378838060632,4.82367586517866,1.40936385895339e-06,1.00783315750805e-05
"17","LOC100232921",2419.10701424752,1628.37681627464,4401.34093172,5868.28177300644,3579.27663381215,1.34340073195573,0.272070207873576,4.93769877435449,7.90498176852505e-07,5.94383218995042e-06
"18","LOC100232959",729661.929828479,191077.251058378,1779121.85249198,2326461.43296762,1256580.61658662,2.15672828873925,0.865539294352211,2.49177397584635,0.0127106894664198,0.0320706574746177
"19","LOC100232960",5437.87498016949,2653.15978211754,9622.12317380456,11821.9959385375,7383.78846865727,1.40625671631862,0.329562748117498,4.26703783832161,1.98085572260084e-05,0.0001109148938923
"20","LOC100232973",2684.23900771783,2193.00238240653,3991.62027653772,6803.42012361341,3918.07044756887,1.14627023859901,0.290837566222499,3.94127297063846,8.10503256863044e-05,0.000389575304829755
"21","LOC100233020",9152.39200278199,7664.31532059205,22472.6614821406,21688.2827833364,15244.4128972128,1.39290029454761,0.199104421471327,6.99582803965106,2.63696810290958e-12,4.31365302383474e-11
"22","LOC100233041",2379.96000850023,2131.64806244506,4836.31047881828,4251.99326578452,3399.97795388702,1.01042626973446,0.203795922709963,4.95802985799904,7.12116211446312e-07,5.40473048177824e-06
"23","LOC100233057",79.1837161706617,103.639053988967,211.172550570138,212.426489520595,151.60545256259,1.21121396997016,0.351998246267644,3.44096592188475,0.000579641531294347,0.00222462862663231
"24","LOC100233070",3978.75931140673,3177.15883908576,8685.61881910221,9769.30953436563,6402.71162599008,1.36685716765284,0.21578700171109,6.33428870513193,2.38438677951132e-10,3.13123646682925e-09
"25","LOC100233114",56746.2539447301,24430.6269187111,91811.8570679887,104928.295397056,69479.2583321215,1.27715855855912,0.351715159061137,3.63122977686929,0.000282073902754071,0.00117478902839444
"26","LOC100240757",227.764397075162,256.195741460725,485.467330930264,514.903338729269,371.082702048855,1.04724700810941,0.260722670993691,4.01670865106605,5.90166122807354e-05,0.000295148244319825
"27","LOC100240763",10006.5084918138,10170.7222022612,28463.534927663,27788.6174063083,19107.3457570116,1.47917818240645,0.180903837053691,8.17659927228324,2.91966988877725e-16,6.82864940928894e-15
"28","LOC100240786",227.764397075162,213.081895001315,409.720655182279,589.945305136001,360.128063098689,1.18127909871492,0.299612147234076,3.94269427865362,8.0571335281405e-05,0.000387701388049099
"29","LOC100240925",5824.00680958597,4330.45423187498,12080.4471048982,14076.718406112,9077.90663811781,1.36514063740625,0.231848318024539,5.88807651932919,3.9071622081409e-09,4.30872637078957e-08
"30","LOC100240934",4419.16312606379,4425.80216154483,8675.28972695476,9935.55635225131,6863.95284170367,1.07321305919931,0.194185392413094,5.52674454995178,3.26227419155069e-08,3.14422680701182e-07
"31","LOC100240944",6889.87301152365,5459.70536413876,18265.2779474117,29150.9177195382,14941.4435106531,1.94093963369229,0.275303798269427,7.05017382939549,1.78694415206338e-12,2.95734032183588e-11
"32","LOC100241016",3693.16411038671,3245.97517093443,6918.19638498258,7000.83821985266,5214.54347153909,1.00427497740851,0.194646931928967,5.15946985372983,2.47650094422116e-07,2.0515177964569e-06
"33","LOC100241021",3392.44392987341,2635.7484210474,6000.05486076458,6294.2892438385,4580.63411388097,1.02827639065256,0.21794860200496,4.71797653755611,2.38201957044604e-06,1.63025765038992e-05
"34","LOC100241061",146.80127155235,126.854202082495,438.412577814092,606.10819020822,329.544060414289,1.93287109257132,0.305241428536104,6.33226984240344,2.41580498088709e-10,3.16698464199674e-09
"35","LOC100241069",156.588022989174,152.556687471759,799.930802974926,996.326415523226,526.350482239771,2.53872590040828,0.26119510134239,9.71965357451464,2.4862591356604e-22,9.09352291298086e-21
"36","LOC100241098",2961.82686665318,2462.46392277784,6234.18094944017,8402.39125397224,5015.21574821086,1.43212214426682,0.238210217911437,6.01200971487826,1.83237338570949e-09,2.11765867547029e-08
"37","LOC100241136",87.1910582553354,97.8352669655844,210.024873664866,293.240914881691,172.073028441869,1.44310050589856,0.35412255741903,4.07514425631731,4.59858315166985e-05,0.000236027935964193
"38","LOC100241166",12270.8068924243,7880.71366532102,21435.1615597743,25895.2508692769,16870.4832466991,1.23190654139654,0.265217831486305,4.64488580761265,3.40264610953151e-06,2.25580989516233e-05
"39","LOC100241171",1451.99803135416,1073.70059932569,3414.33879318566,3057.09426223117,2249.28292152417,1.3575966816096,0.237212924872479,5.72311429632012,1.04588850151625e-08,1.08271219361353e-07
"40","LOC100241173",3631.77448773754,2397.79315308873,6778.17980253933,7927.89512792352,5183.91064282228,1.28637621755698,0.259183468678897,4.96318775311505,6.9345486991555e-07,5.27370448602219e-06
"41","LOC100241187",321.183388063021,243.759054982049,587.610575499515,576.091403645527,432.161105547528,1.04314147873763,0.270859706711033,3.85122427918196,0.000117528801743676,0.000543696786161999
"42","LOC100241199",1617.48310110408,577.062252610566,3663.38468162979,4200.04113519525,2514.49279263492,1.84147906166754,0.400968059884189,4.59258291595448,4.37793477864862e-06,2.83676140207798e-05
"43","LOC100241227",3500.09819567846,2769.23552258519,7567.78151336681,10631.7149021476,6117.20753344452,1.53756507621377,0.251639764229267,6.11018326504595,9.95167959064608e-10,1.20163213830521e-08
"44","LOC100241245",11.5661607889731,8.29112431911732,43.6117224003547,60.0335731253856,30.8756451584577,2.38653120122745,0.70440003248703,3.38803391703618,0.000703955587237216,0.00262605939941516
"45","LOC100241271",244.668785920584,255.366629028814,684.015435542405,995.171923732353,544.805693556039,1.74753800293948,0.283475248992507,6.16469342261931,7.06198271718182e-10,8.68930916940198e-09
"46","LOC100241302",36.4778917190689,35.6518345722045,329.383271813205,495.276978284431,224.197494097227,3.51527292646064,0.369222374278036,9.52074730935328,1.71938108953922e-21,5.9430210484226e-20
"47","LOC100241338",1321.21144397115,757.808762767323,4206.23585782368,6572.52176543885,3214.44445750025,2.37443350468227,0.325941432926319,7.28484710693109,3.22035308632184e-13,5.74084991136428e-12
"48","LOC100241363",17793.2038168209,17161.7982281409,32698.4627081185,37479.4214988946,26283.2215629937,1.00551977234372,0.191672963116467,5.24601777942324,1.55421910268592e-07,1.33589675340961e-06
"49","LOC100241405",581.866858152953,244.588167413961,921.58455493381,1067.90490655734,703.986121764516,1.26799163469442,0.38381499922807,3.30365315905998,0.000954338234520414,0.00343829052029634
"50","LOC100241450",290.933429076476,329.986747900869,1048.97669141906,765.428057348666,608.831231436267,1.54679471052822,0.270408739205246,5.72020976494468,1.06392620872571e-08,1.09987622673744e-07
"51","LOC100241481",1927.10032837813,1654.07930166391,4244.10919569767,4602.95877020985,3107.06189898739,1.30485395776287,0.205195300665321,6.35908304689262,2.02961660697013e-10,2.68402569987172e-09
"52","LOC100241484",10157.7582867466,5623.04051322537,15283.6133475138,16971.0293258302,12008.860368329,1.03137501677789,0.293936827268339,3.50883224250198,0.000450078695556555,0.00177812242072653
"53","LOC100241504",4913.8389259614,3263.38653200458,9284.70616365445,12466.2023578445,7482.03349486623,1.4114512433642,0.272441594125329,5.18074799810085,2.20997890379307e-07,1.84422861709824e-06
"54","LOC100241516",56.9410992687905,61.3543199614682,205.434166043776,218.198948474959,135.482133437248,1.83999248730797,0.358070838484066,5.13862702446753,2.76753087158275e-07,2.26853363260802e-06
"55","LOC100241519",1057.858859853,724.644265490854,2473.24373086222,3133.29072042878,1847.25939415871,1.65346320473294,0.267630280474217,6.17816190979266,6.48521891645569e-10,8.01886162034717e-09
"56","LOC100241523",71.1763740859881,58.0378702338213,145.754966969606,137.384523113863,103.08843360082,1.13264520715697,0.396122132633175,2.85933330618979,0.00424532470398832,0.0126333006438349
"57","LOC100241554",252.676128005258,145.094675584553,377.58570183465,513.748846938396,322.276338090714,1.16495124595399,0.358734688274582,3.24738946087732,0.00116468895902224,0.00409704133503161
"58","LOC100241571",1230.46156701152,1388.76332345215,2770.49204932779,3150.60809729187,2135.08125927083,1.17662582857558,0.209989704443544,5.60325484381984,2.10363576800476e-08,2.08521513956339e-07
"59","LOC100241598",5700.33785961157,4679.51056570982,10877.6817081727,13481.0006420217,8684.63269387894,1.23068383970566,0.222766361870791,5.52454970925762,3.3033170433165e-08,3.17972354849854e-07
"60","LOC100241633",1498.26267451005,1227.91551166128,2949.5296465503,3039.77688536808,2178.87117952243,1.13565236031679,0.213654815312514,5.3153604736484,1.06446388161978e-07,9.43596800308218e-07
"61","LOC100241637",118.330721917955,117.733965331466,259.374980591583,312.867275326529,202.076735791883,1.27742813791114,0.315155448567441,4.05332715559184,5.04943104309855e-05,0.000257012407409512
"62","LOC100241641",129.896882706928,205.61988311411,281.18084179176,395.99068426937,253.172072970542,1.01216661015946,0.360089845397223,2.8108724061433,0.00494073748404468,0.0143813701001249
"63","LOC100241651",109.433675157207,173.284498269552,572.690775730973,1005.56234985021,465.242824751985,2.47982369911229,0.366938244644516,6.75815000291044,1.39764792705528e-11,2.11940717136849e-10
"64","LOC100241685",1833.68133739027,1098.57397228305,4319.85587144566,5162.88728878316,3103.74961747553,1.69348223559468,0.285101062723827,5.93993659446695,2.85132335355136e-09,3.20844735210749e-08
"65","LOC100241717",5661.19085386428,4660.44097977585,13117.9470272646,16409.946315466,9962.38129409267,1.51644017956053,0.223539933367562,6.78375517392266,1.17091693443907e-11,1.79239752506427e-10
"66","LOC100241738",1976.92379023832,1905.30036853316,3998.50633796936,4962.00571717129,3210.68405347803,1.206711458207,0.213281172514255,5.65784332476112,1.53286967520232e-08,1.54653161526652e-07
"67","LOC100241750",1564.10082053959,1174.02320358701,3651.90791257707,4935.45240598122,2831.37108567122,1.64916452787034,0.256763901267055,6.42288312232441,1.33717161799228e-10,1.81278834918235e-09
"68","LOC100241773",2251.84253514545,1824.04735020581,4011.13078392736,4847.71102987489,3233.68292478838,1.12009044571999,0.225935339384352,4.95757081991737,7.13800267508063e-07,5.41569639959201e-06
"69","LOC100241782",843.440032918959,642.562134731593,1811.03415651999,1846.03237360561,1285.76717444404,1.29954641847956,0.235115150021623,5.52727639354606,3.25240358274911e-08,3.13604842902214e-07
"70","LOC100241806",31.1396636626198,29.8480475488224,107.881629095614,60.0335731253856,57.2257283581105,1.46146260617793,0.5499101798385,2.65763875585489,0.00786901900037901,0.021333324172983
"71","LOC100241849",5380.04417622462,4124.83434876087,12741.5090023352,21944.5799609102,11047.7418720577,1.86764454423101,0.295651977500249,6.31703721389596,2.66625396009445e-10,3.47518650872414e-09
"72","LOC100241865",1073.87354402235,1075.35882418952,2270.10491862899,2621.85085707213,1760.29703597824,1.18658171692553,0.208086907618427,5.70233721335988,1.18175749788757e-08,1.20844578826443e-07
"73","LOC100241875",495.565504573692,416.21444081969,1183.25488933594,1176.42713489938,817.865492407176,1.37215824611293,0.229966020898036,5.96678692249635,2.41971060041838e-09,2.75426083426205e-08
"74","LOC100241876",538.271329025285,569.60024072336,1154.56296670413,1222.60680653429,871.260335746766,1.1013523329339,0.217572053878652,5.06201193259942,4.1485505276605e-07,3.2805862363337e-06
"75","LOC100241893",1072.0941346702,591.157163953065,1837.43072534126,2016.89715865478,1379.39479565482,1.21280444266608,0.307246927358416,3.9473281412227,7.90282080902618e-05,0.000381573604428136
"76","LOC100241912",47.1543478319671,38.9682842998514,161.822443643421,260.915144737253,127.215055128123,2.29625963261262,0.424260131201996,5.41238608989007,6.21904164495502e-08,5.76336892516502e-07
"77","LOC100241915",1219.78511089862,1080.33349878099,2272.40027243953,2511.01964514834,1770.88463181687,1.05643798117427,0.209588408083342,5.04053631035827,4.64229033191009e-07,3.64303130379357e-06
"78","LOC100241921",1117.46907315001,1015.66272909187,2576.53465233674,2357.47223696226,1766.78467288522,1.2098862281768,0.206080873466798,5.87092925133454,4.33359188557806e-09,4.73744665811141e-08
"79","LOC100241926",255.345242033482,206.448995546021,498.091776888261,557.619534991562,379.376387364832,1.19342746285219,0.272819825545956,4.37441619377899,1.21757887250101e-05,7.15256504240343e-05
"80","LOC100241934",4827.53757238214,2537.0840416499,13562.097989605,18371.4278681589,9824.53686794898,2.11646252807966,0.320833315226033,6.59676669359779,4.20221251243904e-11,6.08689003721176e-10
"81","LOC100241941",307.837817921898,294.334913328665,984.706784723797,1163.72772519978,687.651810293536,1.83513787629193,0.23814926230604,7.70583061447251,1.29994961086333e-14,2.67310256039472e-13
