"","AF_A","AF_B","CO_A","CO_B"
"LOC100257798",1316,392,3425,3694
"LOC104879009",575,333,1383,2033
"LOC104879367",2,2,0,0
"LOC104879364",0,0,0,0
"LOC100252595",1175,1559,643,803
"LOC100247487",389,613,116,69
"LOC100242416",409,359,402,390
"LOC100242352",9882,9172,8935,7453
"LOC100254406",404,360,593,496
"LOC100249303",635,533,374,329
"LOC104878994",149,138,160,152
"LOC104878992",990,1246,772,884
"LOC100259458",4517,5887,3573,3733
"LOC100266180",803,1022,433,484
"LOC100853809",280,342,246,215
"LOC100255898",2007,1979,2866,2503
"LOC100250730",349,354,329,365
"TRNAA-AGC",3,2,1,2
"LOC100254346",718,808,917,952
"LOC100245596",1557,1570,1282,1489
"LOC100267914",33,48,16,7
"LOC100262769",26986,26831,28897,22628
"LOC100257645",1312,1531,1490,1322
"GS",25960,30174,23068,29194
"LOC100252512",2834,2449,2808,2226
"LOC100247403",462,499,425,453
"LOC100242270",2,6,0,1
"LOC100264553",0,1,0,0
"LOC100244078",12,11,36,42
"LOC100254261",1383,1240,1274,1114
"LOC100249161",7309,7219,5309,4458
"LOC100266326",0,0,0,1
"LOC104878978",3,2,1,5
"LOC100256033",381,388,407,397
"LOC104878977",618,983,969,937
"LOC100266416",1352,2712,358,235
"LOC100261208",2499,2295,1984,2421
"LOC100268066",2254,2479,3130,2825
"LOC104878974",14,11,13,6
"LOC104878973",201,158,0,0
"LOC104878972",4,1,0,0
"LOC104878969",0,7,0,0
"LOC104878965",2,0,3,0
"LOC104878959",3,8,3,0
"LOC100260974",489,685,368,415
"LOC109123402",0,0,0,0
"LOC100267908",12,13,2,3
"LOC104878955",1,3,2,1
"LOC100247397",1263,1610,330,244
"LOC104879359",19,14,4,10
"LOC100264548",200,207,13,11
"LOC100256123",1210,1174,308,358
"LOC100259373",2160,2029,1392,1394
"LOC100254256",28,23,11,12
"LOC100250970",186,183,258,221
"LOC100245828",76,100,68,44
"LOC100249158",656,414,464,443
"LOC100243987",3,6,1,0
"LOC104879353",2,0,0,2
"LOC100256027",7,7,0,0
"LOC104879344",54,40,1,0
"LOC100247541",360,400,9,19
"LOC109123563",4,0,0,0
"LOC104878923",12,19,1,0
"LOC104878924",153,175,14,3
"LOC109122425",100,109,1,8
"LOC100263000",157,189,0,0
"LOC104878916",3,0,0,0
"LOC104878915",0,1,0,0
"LOC100257577",2403,2369,2396,3094
"LOC100255890",501,680,24,18
"LOC109123524",0,0,0,0
"LOC100247335",6015,7474,6403,5564
"LOC100250719",356,503,554,585
"LOC100267904",725,796,1244,1013
"LOC100262757",205,254,318,318
"LOC100247391",329,408,110,84
"LOC100242259",3237,3272,3555,3439
"LOC100242198",5713,5379,6484,7013
"LOC100264541",11,25,23,34
"LOC100264480",316,407,235,177
"LOC100259365",1432,1544,1390,1555
"LOC100259307",458,497,526,435
"LOC100254250",1424,1464,637,599
"LOC100249149",319,342,128,81
"LOC100852498",8,10,9,7
"LOC104878841",26,53,39,45
"LOC100254193",2144,1942,2878,2855
"LOC100261106",89,91,24,7
"LOC109123558",0,0,0,0
"LOC100256020",4054,5943,77,70
"LOC100250878",299,458,118,84
"LOC100249082",833,750,898,1054
"LAR1",6465,9897,353,210
"LOC100245730",1393,1333,1342,1418
"LOC100266255",2468,2794,2431,2374
"LOC100261046",29,59,36,22
"LOC100255959",1333,995,2197,2942
"LOC100250816",1,3,0,0
"LOC100245676",6011,6858,131,136
"LOC100267996",1007,1322,493,418
"LOC100262843",9093,10473,6640,8343
"LOC100262904",788,840,384,333
"LOC100257779",96,112,73,50
"LOC100252639",51,79,5,1
"LOC100257723",2279,3036,1853,1897
"LOC100247534",656,496,937,829
"LOC100252587",1172,920,1375,1451
"LOC100259509",4946,4641,4319,3286
"LOC100247480",70,59,17,11
"LOC100242343",427,425,340,402
"LOC100264625",8020,7297,7204,8156
"LOC100259452",2926,3716,171,95
"LOC100254337",772,877,661,671
"LOC100249239",991,1512,133,97
"LOC100244124",0,1,0,0
"LOC100853290",0,2,0,0
"LOC100853244",0,1,0,0
"LOC100261259",11,23,29,45
"LOC100244069",2972,2661,2474,2232
"LOC100250710",2729,2821,2149,2327
"LOC100245583",106,127,3,6
"LOC109122160",17,49,29,30
"LOC100262750",282,388,333,373
"LOC100257629",79,173,22,9
"LOC100252495",2409,2709,416,317
"LOC104878794",880,707,1161,1368
"LOC100247382",2150,1898,800,754
"LOC100266408",397,599,833,920
"LOC100242253",5011,6356,3614,2940
"LOC100261197",2094,2552,1692,1620
"LOC100256114",402,644,542,669
"LOC109123575",4,1,0,1
"LOC100250961",3760,4641,7466,5419
"LOC100245820",7641,7666,8631,8479
"LOC100268142",11695,13932,3460,4702
"LOC104878782",1,4,0,0
"LOC100249140",208,229,47,93
"LOC100243974",3818,4363,2601,3598
"LOC100262991",2453,3295,558,447
"LOC100256010",5027,5462,6576,7024
"LOC100257863",12,7,7,5
"LOC100252441",878,740,279,229
"LOC100247323",1418,1820,64,36
"LOC100242187",3204,3384,2303,2600
"LOC100264474",693,423,356,533
"TRNAY-GUA",0,0,2,0
"LOC100259299",4,0,0,0
"LOC100254184",69,13,4,2
"LOC100249076",315,335,105,112
"LOC100243921",1970,2454,1245,1404
"LOC104878581",86,103,54,37
"LOC100266248",5816,5840,6515,8742
"LOC100268043",2034,2583,1317,1415
"LOC100852814",749,827,816,1157
"LOC100261039",1095,1176,754,798
"LOC100255956",644,885,609,633
"LOC100257772",403,457,211,120
"LOC104878385",0,3,2,1
"LOC100247527",165,109,63,12
"LOC104878345",15,12,6,25
"LOC100244058",249,333,124,131
"LOC100266396",10,33,16,34
"LOC100249069",1395,1253,859,927
"LOC100257853",3686,2149,2697,3312
"LOC100268132",521,544,542,654
"LOC100252432",1775,896,1148,1167
"LOC100250950",178,238,288,251
"LOC100264677",5,6,2,1
"LOC100259502",105,216,35,6
"LOC100245668",856,637,721,835
"LOC100254383",44,72,0,0
"LOC104877974",30,44,10,14
"LOC100244117",595,721,269,314
"LOC100266460",23,52,0,0
"LOC104877915",20,9,1,6
"LOC100245810",498,494,533,498
"LOC100252578",3205,2958,2750,2937
"LOC100261252",208,292,162,186
"LOC100852497",188,202,97,62
"LOC100255880",1919,1982,2887,2651
"LOC100247470",656,646,622,524
"LOC100250702",4,4,3,4
"LOC100245576",1004,1233,71,101
"LOC100267893",2235,3285,205,150
"LOC100262743",24,18,26,6
"LOC100257622",748,1142,18,17
"LOC100247375",57,40,18,3
"LOC100242244",1431,1454,364,273
"LOC100264527",977,1139,843,721
"LOC100256104",85,134,55,51
"LOC100266298",1420,1132,1313,1412
"LOC100259351",13,14,12,3
"LOC100261088",9,17,5,6
"LOC100256001",2945,2649,2699,2287
"LOC100250861",1,2,2,0
"LOC100249231",8255,5597,11562,13235
"LOC100243915",2857,4243,58,36
"LOC100247313",17,6,1,0
"LOC109123579",4,0,0,0
"LOC100264619",766,654,693,504
"LOC100262836",3128,3258,2709,2337
"LOC100257765",0,1,0,0
"LOC100252628",810,1187,78,82
"LOC100247521",1601,1332,1876,1818
"LOC100257715",1085,1130,1194,1321
"LOC100250808",11645,13045,10720,8722
"LOC100254175",462,645,418,344
"LOC100242178",3604,3529,3686,3811
"LOC100259291",1454,1683,315,331
"LOC104882362",30,37,0,0
