"","AF_A","AF_B","CO_A","CO_B"
"LOC100242762",1232,1575,1336,897
"LOC104879666",3,4,0,0
"LOC104879665",75,49,7,0
"LOC100261580",756,1143,1118,1011
"LOC100266773",216,230,73,83
"LOC109122712",109,76,31,53
"LOC100247905",2054,2007,1729,1721
"LOC100253027",2,2,0,3
"LOC100254731",2958,2931,2540,2418
"GO:0003676",23006,23073,22512,20717
"LOC100263294",5435,6293,4366,4910
"LOC100241029",5554,6127,3436,2960
"LOC100246136",489,519,369,495
"LOC100241012",0,0,0,0
"LOC104879697",0,0,0,0
"LOC104879695",0,0,0,0
"LOC100266702",0,0,0,0
"LOC100251280",2323,3991,170,111
"LOC100249534",1,7,1,1
"LOC109122745",0,0,0,0
"LOC109122746",4,1,0,0
"LOC100259922",11,15,3,11
"LOC100854978",0,0,0,0
"LOC100256432",1661,2004,1020,611
"LOC100241087",1,1,0,0
"LOC100261518",1493,2159,407,273
"LOC104879694",0,0,0,0
"LOC100266720",2512,2704,2553,2306
"LOC100244396",828,777,390,427
"LOC100251257",3,0,0,0
"LOC109122774",0,0,1,0
"LOC100249557",501,739,118,108
"LOC100256413",99,88,28,29
"LOC100249541",2021,2133,2250,1991
"LOC100254817",3947,3044,3626,3456
"LOC100259771",2012,2451,1562,1882
"LOC100259925",556,527,1628,1619
"LOC100264970",1787,1426,3024,2938
"LOC100242686",8753,11461,1114,1846
"LOC100265114",110,115,100,106
"LOC100242827",539,593,17,7
"LOC100253092",9,2,0,1
"LOC100258223",109,117,91,48
"LOC100263360",255,300,162,231
"LOC109122723",22,12,7,16
"LOC100247986",923,1415,540,397
"LOC100256492",647,576,587,597
"LOC100253115",1479,1599,685,674
"LOC100258243",2506,2095,2841,2646
"LOC104879662",61,106,127,152
"LOC100266782",1860,1630,1998,1935
"LOC100249616",0,2,0,0
"LOC100254738",756,838,341,339
"LOC104879691",0,0,0,0
"LOC100263383",2470,2390,2190,2192
"LOC100241109",774,805,773,901
"LOC100247889",1,0,0,0
"LOC100253012",0,0,0,0
"CIPK018",12022,8009,9570,10624
"LOC104879690",0,0,0,0
"LOC100251366",2041,1693,1874,1951
"LOC100246120",948,801,1234,1284
"LOC100251263",1162,1298,812,723
"LOC100256509",653,670,673,974
"LOC100261610",10389,13154,5483,5146
"LOC100266800",2027,2045,1656,1799
"LOC100244484",1414,951,1367,1679
"LOC100249544",14,10,2,5
"LOC100249635",376,650,461,540
"LOC100253097",0,0,0,0
"LOC100254753",184,302,189,175
"LOC104879688",4,0,0,0
"LOC100265052",4337,5741,1173,1301
"LOC109122816",21,21,8,2
"LOC100242766",4891,5528,3573,3741
"LOC100266786",677,399,702,886
"LOC100254743",7,33,0,1
"LOC100247894",2563,2702,1850,2169
"LOC100247908",900,994,1147,1067
"LOC100253016",1117,878,1494,1718
"LOC100241020",367,340,386,584
"LOC104879661",6,2,4,0
"LOC104879687",0,0,0,0
"LOC100242629",1211,1198,1159,1080
"LOC109122817",21,22,23,15
"LOC100254653",311,296,199,243
"LOC100258165",12374,10618,11366,13126
"LOC100259760",60,60,9,7
"LOC109122725",0,0,0,3
"LOC100854563",7,2,2,1
"LOC100246217",1463,1529,1414,1552
"LOC100251352",5,5,10,11
"LOC100256499",26,26,21,37
"LOC100241032",2533,1904,2739,3307
"LOC100261596",1214,1387,1152,1159
"LOC104879660",0,0,0,1
"LOC100249621",1235,1349,1766,2189
"LOC100246140",203,238,113,136
"LOC100251284",7603,5184,10219,11274
"LOC100256436",1371,1604,1300,1462
"LOC100247897",307,357,293,306
"LOC100253019",362,306,509,700
"LOC100261522",21568,25189,24484,25911
"LOC104879658",147,176,186,191
"LOC104879686",0,0,0,0
"LOC100254658",994,762,1244,1800
"TRNAF-GAA",35,20,6,13
"LOC104879685",0,1,1,0
"LOC104879684",0,0,0,0
"LOC104879683",0,0,0,0
"LOC104879682",2,2,0,0
"LOC104879681",13,2,0,0
"LOC100246221",217,227,415,360
"LOC100266725",325,359,232,261
"LOC100244402",920,793,1299,1373
"LOC100244477",2149,2308,2226,1847
"LOC100249625",3551,3143,2969,3684
"LOC109122807",15,30,16,14
"LOC100249562",1810,1325,1277,1514
"LOC100259858",1397,1418,1556,1890
"LOC100254674",3185,4027,2344,2377
"LOC100242757",2,7,0,0
"LOC100253022",0,0,0,0
"LOC100259777",8,0,0,0
"LOC100258155",0,0,0,0
"LOC109122747",4,15,0,0
"LOC100263290",2,0,0,0
"LOC104879680",111,104,53,65
"LOC100264975",1328,1332,962,1009
"LOC104879656",43,27,24,16
"LOC100251275",1277,1225,1386,1388
"LOC100242692",498,622,417,462
"LOC104879679",3,2,0,2
"LOC100247831",2410,2746,3351,4130
"LOC104879678",0,0,0,0
"LOC100253119",936,1837,580,716
"LOC104879653",5,6,0,0
"LOC100249553",170,370,10,2
"LOC100254664",108,154,82,50
"MIR398C",4,0,0,0
"LOC104879651",136,81,173,222
"LOC100258249",3263,3459,3103,3937
"LOC100263388",1272,1453,390,552
"LOC100249986",4542,3226,3294,3244
"LOC100232896",5,13,0,3
"LOC100255134",3,4,2,2
"LOC109122765",39,80,4,1
"LOC100853601",0,0,0,0
"F3'5'H",220,363,11,4
"LOC104877273",244,314,3,15
"LOC109122767",1,2,0,0
"LOC104879649",0,0,0,0
"LOC109122768",14,22,1,12
"LOC109122766",1,0,0,0
"LOC100248071",14,19,2,9
"LOC100242945",4,8,0,0
"LOC100267840",0,1,0,0
"LOC100853343",0,0,0,0
"LOC100243414",2,0,0,0
"LOC100265738",0,0,0,0
"LOC109122748",0,0,0,0
"LOC109122749",0,0,0,0
"LOC104879647",0,0,0,0
"LOC100852531",4,9,1,0
"LOC100255835",0,0,0,0
"LOC100241335",0,0,0,0
"LOC100246462",1,3,0,0
"LOC100266025",0,0,0,0
"LOC104879677",3,0,0,0
"LOC109122780",0,0,0,0
"LOC109122786",0,0,0,0
"LOC109122775",0,0,0,0
"LOC104879676",0,0,0,0
"LOC109122764",85,118,105,134
"LOC100251607",0,1,0,0
"LOC100263664",0,0,0,0
"LOC109122750",6,8,7,2
"LOC109122781",3,0,0,0
"LOC109122751",0,0,0,0
"LOC100246526",0,0,0,0
"LOC100256733",0,0,0,0
"LOC100251670",0,0,0,0
"LOC100244760",706,838,483,645
"LOC100265335",763,1236,341,283
"LOC100263764",368,320,267,201
"LOC100262019",404,437,186,164
"LOC109122752",0,0,0,0
"LOC100246624",3611,4437,2501,1785
"LOC100267192",389,355,363,348
"LOC104879646",8,8,16,23
"MIR398B",0,0,0,0
"LOC100853566",516,562,430,469
"LOC100852747",0,0,0,0
"LOC104879674",0,0,0,0
"LOC100267161",5723,5918,7972,7475
"LOC100244850",718,1051,56,20
"LOC100250010",331,563,72,28
"LOC100243136",0,2,0,0
"LOC100248254",176,222,38,22
"LOC104879645",787,1010,174,191
"LOC100255166",1020,1540,443,396
"LOC100260248",9107,8350,13613,18324
"LOC100265466",1505,1330,1433,1849
"LOC100251674",5696,5522,6075,7016
"LOC100261894",19,56,0,5
"LOC100244765",105,134,61,47
"LOC100243157",5957,6154,5189,4743
"LOC100265339",988,895,774,718
"LOC100852487",1084,1429,16,26
"LOC100248282",1473,1560,2262,1718
"LOC109122772",7,10,3,4
"LOC100246628",89,110,73,78
"LOC104879672",1,0,0,0
"LOC100253405",1057,1146,852,1104
"LOC104879644",36,41,46,60
"LOC100258543",496,637,334,378
"LOC100267166",1016,976,1004,1021
"LOC100263694",2096,2534,2282,2699
"LOC100246553",1623,1617,1920,2148
"LOC100251692",2706,2601,2848,3018
"LOC100256828",932,1900,50,93
"LOC109122753",1,4,1,4
"LOC100255138",2,3,1,0
"LOC109122825",11,29,2,0
"LOC100251620",0,0,0,0
"LOC100263673",0,0,0,0
"LOC100261927",2220,1874,4570,6390
"LOC100261898",2380,2076,2545,2395
"LOC104879642",163,189,132,162
"LOC104879671",0,0,0,0
"LOC100267105",369,326,653,908
"LOC100255039",335,363,455,621
"LOC104879641",195,215,456,436
"LOC100260139",1194,1102,803,961
"LOC100265341",4385,4700,3699,3862
"LOC100243048",1225,1308,1012,1068
"LOC100854476",451,577,572,553
"LOC100253300",2066,2213,1482,1390
"LOC100263580",750,813,570,501
"LOC100244787",1606,1843,1837,2099
"LOC100249922",543,978,6,12
"LOC100251769",262,306,248,214
"LOC100256902",484,500,362,326
"LOC100265368",6,20,3,10
"LOC100249993",0,0,0,0
"LOC100243073",13,4,1,0
"LOC100260228",6812,9970,2711,1663
"LOC100253387",62,61,31,26
"LOC100258526",750,871,1143,993
"LOC100248187",3178,3120,2045,2093
"LOC109122754",13,2,0,0
"LOC100267086",3889,2870,3491,3061
"LOC100244768",1558,1549,665,564
"LOC100249897",65,16,28,39
"LOC100255043",1417,1826,352,242
"LOC100253324",19355,19943,22529,26296
"LOC100258458",546,730,479,503
"LOC104879717",34,45,38,73
"MIR172A",0,0,0,0
"LOC100263602",1057,1298,710,646
"LOC100253304",0,0,0,0
"LOC100241340",8,1,3,6
"LOC100258439",365,486,343,372
"LOC100246467",3,2,0,0
"LOC100241317",1086,1292,910,758
"LOC100246636",9,0,3,6
"LOC100261999",566,605,381,323
"LOC100267173",0,0,0,0
"LOC100244862",0,0,0,0
"LOC100251610",80587,58276,71267,72566
"LOC100256738",1135,928,1333,1630
"LOC100261829",35387,32101,18307,23996
"LOC100267198",2641,1940,975,915
"LOC100244888",2108,1931,1672,2402
"LOC100250017",846,909,442,470
"LOC100253389",1,0,0,0
"LOC100255173",2236,1948,2376,2528
"LOC100258529",308,339,213,214
"LOC100263678",9,17,2,4
"LOC100241419",215,222,107,84
"LOC100246535",92,140,102,95
"LOC100251679",4,13,0,0
"LOC100260253",5104,4769,4591,6373
"LOC100265471",493,653,437,244
"LOC100243163",1567,2242,898,887
"LOC109122755",0,0,0,0
"LOC100267088",6,9,1,0
"LOC100244770",215,282,93,36
"LOC100249900",0,5,4,8
"LOC109122756",0,0,0,0
"LOC100265349",537,578,553,591
"LOC100243057",201,350,201,228
"LOC100853225",7,3,7,1
"LOC100248285",943,1186,252,254
"LOC100253307",6,9,6,15
"LOC100258443",336,350,274,218
"LOC109122810",4,2,2,9
"LOC100246450",1326,1685,1266,1390
"LOC100251777",1826,2542,99,117
"LOC100256907",784,1236,783,680
"LOC100253409",1939,2369,1168,1125
"LOC100258546",1865,2652,1554,1659
"LOC100262004",67,141,18,18
"LOC100263698",4727,7272,179,151
"LOC100267175",960,901,767,714
"SODCP",5913,6259,3826,4255
"LOC100246559",243,459,114,105
"LOC100251697",1441,1740,723,896
"LOC100244865",0,2,0,0
"LOC100256831",1220,1080,897,1222
"LOC100249997",580,647,499,664
"LOC100261930",2437,3714,1120,1405
"LOC100255152",421,442,326,202
"LOC100260233",1282,1146,1461,1403
"LOC100265453",30,25,8,8
"LOC100243144",881,898,927,872
"LOC100248267",746,571,494,708
"LOC100253395",20,11,1,0
"LOC100263681",0,1,0,0
"LOC100267109",1065,1627,125,88
"LOC100241423",1717,1697,1359,1275
"LOC109122801",8,17,3,0
"LOC109122802",0,3,2,1
"LOC100244792",6178,3676,3756,4629
"LOC100246541",61,108,130,122
"LOC100261907",51,69,59,47
"LOC100244772",118,147,46,69
"LOC100265353",4,1,4,0
"LOC100243061",111,113,126,123
"LOC100253310",15,2,0,0
"LOC100249926",431,513,612,701
"LOC100255070",3861,2215,4518,4140
"LOC100258447",3722,4205,3624,3240
"LOC100260164",1147,1313,884,901
"LOC100246455",324,320,65,62
"LOC109122778",0,0,0,0
"LOC100256913",615,461,301,214
"LOC100262008",585,613,722,835
"LOC100267180",2,0,0,0
"LOC100244870",0,0,0,0
"LOC100265374",99,114,96,76
"LOC100250001",2,10,31,56
"LOC100243077",669,919,283,200
"LOC100248193",12990,15755,4585,3650
"LOC100855003",468,539,737,579
"LOC100854755",4062,3494,3749,4314
"LOC100241344",3190,3619,2630,2626
"LOC109122761",0,1,3,0
"LOC100243147",1209,1277,1141,1116
"LOC100246473",815,933,1046,919
"LOC104879706",242,258,117,163
"LOC100246547",832,850,888,962
"LOC100854857",252,180,322,224
"LOC100251616",5391,6227,3707,2180
"LOC100256817",32726,36017,38356,39428
"LOC100256741",16826,21827,6999,7956
"LOC100261914",2384,2301,1987,1855
"LOC100267096",5,0,0,0
"LOC100244777",0,0,0,0
"LOC100261833",1189,1355,992,933
"LOC100267022",5448,8018,769,930
"LOC100244893",2268,2495,1154,906
"LOC100250021",822,961,734,803
"LOC100255054",288,308,447,505
"LOC100852551",1094,987,755,905
"LOC100255180",75,88,66,54
"LOC100854742",73,85,22,21
"LOC100260258",818,1093,167,167
"LOC100248181",198,198,0,0
"CBF3",6,13,0,0
"LOC100251208",697,621,611,787
"LOC104879703",794,761,833,1008
"LOC100244875",2993,1759,1827,2979
"LOC100243168",518,548,310,371
"LOC104879702",123,129,77,56
"LOC100260244",35,47,4,4
"LOC104879701",19,36,8,8
"LOC100248292",105,110,128,57
"LOC100253418",404,536,121,84
"LOC100853182",83,109,27,17
"LOC100248276",974,1081,876,802
"LOC100854602",2207,1415,2657,2375
"LOC100253402",550,691,409,566
"LOC100258540",1644,1535,2649,2764
"LOC100263703",1109,1256,618,635
"LOC100263690",2261,2483,2236,2514
"LOC100241445",11781,12849,10595,13442
"LOC100241432",577,783,412,350
"LOC100246564",911,827,1246,1241
"LOC100261920",121,85,100,84
"LOC100267099",1553,1434,1406,1250
"LOC104879741",1,7,0,0
"LOC100255060",11,0,0,0
"LOC100251704",5,5,3,1
"LOC109122777",1,1,0,0
"LOC100256833",167,165,114,167
"LOC100253318",579,617,366,292
"LOC100258455",0,0,0,0
"LOC109122757",2,0,0,0
"LOC100261934",2001,2268,14,13
"LOC100254606",0,0,0,0
"LOC100259719",108,159,1,5
"LOC100264905",3228,3294,4260,3296
"LOC100240768",41,83,13,6
"LOC100251004",96,62,85,117
"LOC100242617",7933,7977,9701,11514
"LOC100266673",11,6,5,6
"LOC109122763",0,0,0,0
"LOC100263978",0,0,0,0
"LOC100255252",1364,1175,855,751
"LOC100241698",723,940,750,711
"LOC100246816",62,69,42,44
"LOC100260331",735,936,206,138
"LOC100251949",21,64,11,12
"LOC100265548",636,826,1587,1303
"LOC100262186",75,93,84,101
"TFL1A",276,339,9,12
"LOC109122814",116,107,27,30
"LOC100245043",1856,1563,2095,1784
"LOC100248360",1041,2254,599,662
"LOC100253478",0,2,0,0
"LOC100255346",0,0,0,0
"LOC100243326",1622,1720,1007,862
"LOC109122805",30,6,2,0
"LOC100258619",365,392,557,651
"LOC100263770",392,296,432,431
"LOC100241714",0,0,0,0
"LOC100248450",0,0,0,0
"LOC100258703",1161,1355,690,548
"LOC100246831",721,767,3294,3969
"LOC100263858",13533,15829,13349,14546
"LOC100251971",1121,1627,917,1076
"LOC100257100",987,1400,422,282
"LOC100246720",1541,1879,1085,870
"LOC100251852",2333,3126,739,720
"LOC100262207",1759,1914,2600,3922
"LOC100267377",6390,6859,8168,9532
"LOC104879736",21,11,34,27
"LOC100245064",1380,1533,1370,1111
"LOC109122758",2,0,1,6
"LOC100855259",36,16,35,22
"LOC100250197",5119,5188,5767,6746
"LOC100255368",7373,7855,7712,8433
"LOC100260445",1709,1645,1253,991
"LOC104879735",95,72,103,174
"LOC100243219",1148,1411,1235,1352
"LOC100265664",320,377,374,429
"LOC104879734",1569,2607,665,377
"LOC104879733",0,0,0,0
"LOC100853004",118,122,313,477
"LOC104879732",26,11,16,15
"LOC109122722",3,0,0,0
"LOC100246820",5,2,3,0
"LOC104879731",9,0,1,7
"LOC104879730",47,22,19,27
"LOC100262192",1,0,0,0
"LOC100267360",0,0,0,0
"LOC100245050",0,0,0,0
"LOC100250181",0,2,1,0
"LOC100255353",35,51,24,54
"LOC100248468",10847,13943,6655,8439
"LOC109122828",63,24,20,23
"LOC100253575",851,1070,750,727
"LOC100258720",9447,9998,3181,1771
"LOC109122769",1,0,0,0
"LOC100263879",1926,2142,22,12
"LOC100263868",1046,1181,705,743
"LOC100241605",1831,1928,1927,2289
"LOC100246737",225,289,306,248
"LOC104879729",15,6,1,2
"LOC100251866",933,887,1249,1252
"LOC100256998",9,12,21,17
"LOC100246727",7095,6357,8031,7614
"LOC100262105",1393,1225,1043,1090
"LOC100854881",120,145,153,136
"LOC100267267",2308,2744,1500,1848
"LOC100262096",1221,1173,1092,1167
"LOC100267254",1175,1009,1011,994
"LOC100244949",407,435,120,206
"LOC100244962",1416,2044,159,116
"LOC100255248",1393,1634,1939,1540
"LOC100250098",2583,2131,3435,4524
"LOC100260324",1,0,0,0
"LOC100265540",1615,1549,1455,1656
"LOC100255259",2426,1677,1721,2396
"LOC109122759",0,0,0,1
"LOC100248353",0,2,0,0
"LOC100260340",5,11,12,8
"LOC100265556",3,1,0,1
"LOC109122811",4,0,0,0
"LOC100243239",1288,1462,1078,1159
"LOC109122812",12,12,16,8
"LOC100253468",373,405,172,138
"LOC100854628",0,0,0,0
"LOC100241706",177,259,139,123
"LOC100248369",2102,2089,1523,1780
"LOC100253485",15900,20252,450,930
"LOC104879726",0,0,0,0
"LOC104879725",36,40,17,14
"LOC100258627",1465,1074,1545,2201
"LOC100245057",456,627,617,678
"LOC100263775",328,382,281,386
"LOC100241506",1478,1463,1373,1565
"LOC100248461",546,684,44,45
"LOC100253568",1,2,0,0
"LOC100246840",35,59,86,119
"LOC100258714",1137,1080,1157,1389
"LOC109122824",9,8,14,2
"LOC104879738",0,0,0,0
"LOC100251979",21262,21573,30124,35055
"LOC100257110",2432,2234,1515,1802
"LOC100262216",201,233,137,197
"LOC100854423",1954,1477,2727,3969
"LOC104879724",6,1,9,13
"LOC104879742",5,6,0,0
"LOC100245920",11,16,0,2
"LOC100240826",568,581,16,12
"LOC100263090",8,13,0,1
"LOC100263120",79,95,12,8
"LOC100257954",796,892,522,427
"LOC100252806",1276,1279,845,704
"LOC104879752",1,0,0,1
"LOC100261345",1461,1625,1250,1147
"LOC104879743",89,88,64,67
"LOC100252844",3458,3982,3267,3058
"LOC100247732",3575,3710,5462,6717
"LOC100242595",3431,4181,1782,2003
"LOC100242562",1061,1173,1006,1329
"LOC100264878",3730,3804,866,1052
"LOC100259693",1131,1264,601,856
"LOC100254581",223,204,167,141
"LOC100254550",509,1016,21,15
"MIR845C",0,0,0,0
"LOC100249474",6537,7143,736,747
"LOC100244318",1067,1045,981,730
"LOC100232842",2129,2194,2172,2282
"LOC100261445",495,816,138,155
"LOC109122940",5,8,3,0
"LOC104879744",0,2,0,0
"LOC100256324",10,10,1,0
"LOC100854382",77,91,23,11
"LOC100263195",4,9,5,4
"LOC104879745",12,15,6,18
"LOC104879746",0,0,0,0
"LOC109122868",22,29,9,11
"LOC100256361",1641,1989,1030,1501
"LOC100251205",2808,2959,3211,3454
"LOC100246066",1930,1980,1079,870
"LOC100264728",2314,2464,1777,1592
"LOC100259556",824,826,883,1065
"LOC100254436",554,525,534,592
"LOC100252725",576,806,298,328
"LOC100257874",1163,1556,879,835
"LOC100240970",1311,1611,193,222
"LOC100263010",9223,13506,5158,5396
"LOC100247613",15208,18976,9638,15878
"LOC104879747",80,61,100,210
"LOC100249325",42,22,58,113
"LOC100244169",116,136,123,95
"MIR166G",0,2,4,2
"LOC100266515",1272,1392,1046,1025
"LOC100261309",1991,1859,3357,3306
"LOC100256215",932,1002,1004,741
"LOC100242483",1890,1724,2008,2796
"LOC104879748",18,2,0,0
"LOC109122871",0,0,0,0
"LOC100264774",22,11,3,2
"LOC100259592",844,913,178,301
"LOC100853850",0,0,0,0
"LOC104879750",12,0,0,0
"LOC104879753",0,0,0,0
"LOC109122872",0,0,0,0
"LOC109122873",1,0,0,0
"LOC109122899",0,0,0,0
"LOC100256321",2,0,0,0
"LOC100254474",3331,2785,2919,2980
"LOC104879751",5,1,1,0
"LOC109122867",0,0,0,0
"LOC100245924",16,22,6,0
"LOC100251067",16,26,0,0
"LOC100854299",6,4,0,0
"LOC109121484",0,0,0,0
"LOC100255529",5,1,0,0
"LOC100248634",0,0,0,0
"LOC100243499",0,0,0,0
"LOC104879756",0,0,0,0
"LOC100244179",0,0,0,0
"LOC100249336",3,0,0,0
"LOC104879757",1,0,0,0
"LOC100259565",5,6,0,0
"LOC100853040",1,0,0,0
"LOC100854059",0,0,0,0
"LOC100853005",1320,1196,812,1062
"LOC100854030",2461,2736,1970,1873
"LOC100852976",441,979,114,60
"LOC100852937",3096,4294,271,118
"LOC100853957",783,942,353,303
"LOC109122930",142,160,150,179
"LOC100853917",12,13,0,0
"LOC100852899",3892,4199,2928,2419
"LOC109122916",21,15,2,0
"LOC100853875",691,668,624,736
"LOC100852865",2977,2783,3046,2931
"LOC100852835",1740,1792,1605,1675
"LOC100852813",774,843,804,999
"LOC100852781",2866,3010,3203,3593
"LOC100852748",70,147,87,63
"LOC100852714",262,433,101,81
"LOC104879758",0,0,4,0
"LOC100853829",1372,1404,1730,2133
"LOC100853788",280,325,228,114
"LOC100853754",5,16,0,0
"LOC100852645",3903,5103,164,199
"LOC100852679",1765,1999,1294,1541
"LOC100852600",6,1,0,1
"LOC100852565",11410,14999,11239,13025
"LOC100852532",7,11,1,1
"LOC100853719",7,12,6,11
"LOC100852488",328,438,165,171
"LOC100855343",1652,1523,3205,3734
"LOC100852450",572,539,989,1149
"LOC100852418",5,19,0,0
"LOC100855304",2711,2938,2765,2537
"LOC100855273",3302,5181,2419,2135
"LOC100855240",16758,16072,28451,26660
"LOC100855206",367,481,424,513
"LOC100855168",676,726,810,799
"LOC104879755",90,215,44,25
"LOC100855135",10454,13791,10143,12238
"LOC100853644",1047,1194,657,622
"LOC100853567",5652,6149,4551,5253
"LOC100853533",4,3,0,1
"LOC100853496",2951,2203,3080,3548
"LOC109122931",1,0,1,0
"LOC100853449",194,254,58,83
"LOC100244184",101,116,61,45
"LOC100249339",1164,1526,983,989
"LOC100254453",1778,1652,1901,1867
"LOC100242600",9,17,2,2
"LOC100247737",3185,2325,3754,4051
"LOC100252851",1304,1498,1559,1808
"LOC100259570",493,517,419,330
"LOC100257991",196,258,43,24
"LOC100264747",3,1,0,0
"LOC100252941",5792,4913,7511,9412
"LOC100263214",1683,1457,1373,1609
"LOC100240952",1,0,1,0
"LOC100263127",1882,2340,66,12
"LOC100251186",100,224,28,11
"LOC100256337",2441,2128,2040,1831
"LOC100261429",83,115,42,74
"LOC100240869",1326,1083,1143,1051
"LOC100245962",1026,1059,1513,1932
"MYC1",12214,9806,9421,8287
"LOC104879781",12,30,1,6
"LOC109122874",50,51,19,11
"LOC100249456",1268,1200,1817,1661
"LOC100254563",261,307,343,375
"LOC100854564",4601,3561,5770,10101
"LOC100256258",4389,4411,4155,4856
"LOC100264861",58,177,19,25
"LOC100242575",686,843,175,145
"LOC100266556",451,284,468,459
"LOC100261351",538,399,573,669
"LOC109122875",0,0,0,0
"LOC104879780",580,396,716,1071
"LOC100249381",6253,5831,10779,11144
"LOC100254487",1773,1284,1182,1253
"LOC100853547",657,869,1151,1241
"LOC100240838",529,707,215,152
"LOC100245931",2088,2789,948,626
"LOC104879779",48,30,90,129
"LOC100256232",472,491,162,201
"LOC100259602",1086,1402,1128,1015
"LOC100264786",6499,5764,9285,9746
"LOC104879778",2,3,0,2
"LOC100242497",2306,2417,2833,3009
"LOC100261323",3414,3312,3720,3349
"LOC100247629",2596,3452,2519,3681
"LOC100266531",26,34,16,27
"LOC100244186",478,507,467,356
"LOC100249345",1232,1235,1121,1207
"LOC100254459",2710,2003,4046,5204
"LOC100259575",490,384,346,296
"LOC100252738",464,431,7,6
"LOC100257884",87,83,59,70
"LOC100263020",6,11,9,4
"LOC100240756",3965,3635,4794,4952
"LOC104879777",10,8,3,1
"LOC100245854",2267,2351,1576,1548
"LOC104879776",1344,1278,957,1034
"LOC100256371",1654,1491,2193,2227
"LOC100853168",49,99,47,43
"LOC100261455",401,728,7,5
"LOC100266662",967,1166,466,452
"LOC100244330",2017,2739,1453,1354
"LOC100254595",5540,6607,3375,3645
"LOC100252706",1269,1197,1552,1915
"LOC104879775",2629,2768,3222,4807
"LOC100258076",2863,2515,3296,4474
"LOC100263218",374,421,183,196
"LOC100259706",4623,2984,7543,10884
"LOC104879774",2675,3969,1373,1028
"LOC100242605",2,0,0,3
"LOC100240957",1,7,2,0
"LOC100247743",3132,2578,3430,3239
"LOC100256341",1209,1697,405,409
"LOC100252855",1880,1751,1602,1790
"LOC100266638",2,1,0,0
"LOC100257996",1318,1182,1138,1000
"LOC100244305",1620,1399,1349,1274
"ABP1",442,405,469,594
"LOC100249461",1477,1091,1906,1923
"LOC100240873",434,622,269,229
"LOC100254568",1611,1522,1666,1437
"LOC100245968",180,220,99,98
"LOC104879772",170,242,40,35
"LOC100242580",0,4,1,0
"LOC100247717",86,101,68,52
"LOC100252825",505,520,537,458
"LOC100251103",286,429,344,309
"LOC100256263",1876,1803,1688,1489
"LOC100263109",2316,1780,2104,2580
"LOC100852842",1010,911,607,650
"LOC100240843",141,408,64,69
"LOC100245938",1228,987,1278,1326
"LOC100261357",2208,1978,4023,5196
"LOC100266560",516,922,89,94
"LOC100244218",5351,2665,6754,6540
"LOC100256237",927,1145,1497,1456
"LOC100249385",16703,12135,16787,14689
"LOC100261327",912,941,616,759
"LOC100254490",1884,4381,330,392
"LOC100259607",4435,5052,2584,3541
"LOC104879771",30,37,19,17
"LOC100266534",42,26,48,96
"LOC100244190",349,339,357,358
"LOC100249353",3292,2703,3316,2883
"LOC100254463",326,349,276,304
"LOC100259581",1631,1475,1898,2118
"LOC100264761",4030,2801,5363,6238
"LOC100242474",2739,2396,3062,3353
"LOC100242502",5466,6374,4940,3989
"LOC100247634",0,0,0,0
"LOC100252743",680,1229,135,115
"LOC104879770",133,387,9,25
"LOC100257891",436,614,181,155
"LOC100252712",403,489,125,104
"LOC100263028",2307,2599,2846,2802
"LOC104879769",78,69,84,44
"LOC104879768",7,5,0,1
"LOC100240762",31,36,6,3
"LOC100246055",481,623,145,152
"LOC100251195",1583,1762,1312,1269
"LOC100245859",4797,5094,7621,8978
"LOC100251223",64,93,46,81
"LOC100256378",83,143,5,2
"LOC100256347",341,576,28,12
"LOC100261462",598,677,413,408
"LOC100244335",4348,4361,3899,4307
"LOC100266668",15001,17634,11122,13687
"LOC109122870",51,104,26,31
"LOC100233127",6080,7375,2908,2457
"LOC109122929",87,158,52,77
"LOC100254601",1435,1389,1660,1931
"LOC100266643",2,0,2,0
"LOC100244310",4796,7310,1562,1714
"LOC100259713",5665,3606,5395,7560
"LOC100264899",924,960,479,423
"LOC104879786",0,5,0,0
"LOC100242612",1985,2155,1842,1879
"LOC100247747",85,144,60,79
"LOC100252863",14,13,12,10
"LOC100258001",3882,4116,3630,3986
"LOC100263137",561,752,78,52
"LOC100240880",339,386,314,321
"LOC100251110",107,153,3,2
"LOC100245975",1670,1693,1417,1167
"LOC100247720",936,777,949,1059
"LOC100256270",3064,2323,2832,3420
"LOC104879785",109,102,103,116
"LOC100257975",131,192,119,63
"LOC104879767",129,219,40,28
"LOC100245941",583,674,351,253
"LOC109121413",26,35,1,0
"LOC100240848",361,348,217,253
"LOC109122921",265,324,173,128
"LOC100266539",197,208,88,70
"LOC100244195",700,748,602,653
"LOC100249358",1026,1044,1119,1370
"LOC100261361",1774,1496,1881,1535
"LOC100254466",2895,2948,2160,2072
"LOC100259587",1206,1187,1090,1098
"LOC104879784",0,0,0,0
"LOC104879766",104,119,61,63
"LOC100246059",201,251,73,97
"LOC104879764",112,86,129,127
"LOC104879765",545,389,622,607
"LOC104879763",7,8,2,2
"LOC100261439",0,0,0,0
"LOC100266566",0,0,0,0
"LOC100249469",10,14,4,6
"LOC100242588",36,54,33,24
"LOC100244225",4,0,0,0
"LOC100249390",17,9,0,0
"LOC100247725",156,359,12,20
"LOC100232991",12,8,2,3
"LOC100854629",218,248,142,111
