"","Row.names","A1_A","A1_B","F1_A","F1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","4CL",2002.9421465178,3851.53559863437,352.737308687043,382.550058679768,1647.44127812975,-2.9931588152096,0.340874267687628,-8.78082946980465,1.62273426698681e-18,5.75712919130629e-17
"2","ACO2",1885.76456927978,3848.55530283971,11224.0017997995,12121.3718593104,7269.92338280735,2.0254434466715,0.337511970554141,6.00110106715931,1.95983948199881e-09,2.56500527130045e-08
"3","ADH1",1532.24577693454,1247.75050603167,391.488731331535,349.760053650074,880.311266986954,-1.90705327802995,0.272683629641223,-6.99364784214993,2.67829341905125e-12,5.1804375401572e-11
"4","ANR",19717.609946087,15519.3936347346,1128.75938779854,1233.10291641972,9399.71647125998,-3.89909391652916,0.244213539398951,-15.9659203421951,2.20761135218654e-57,9.44857658735838e-55
"5","AP3",195.626972168571,148.021357801527,37.7577964228384,42.7263701902079,106.033124145786,-2.09415733180831,0.471344067331365,-4.44294831939843,8.87344853249023e-06,5.86201283019945e-05
"6","APX",7992.90101007526,5263.20237337243,15552.2376213228,15033.7204878569,10960.5153731568,1.2062128432535,0.273036889978558,4.41776509887812,9.97267172250261e-06,6.50909358760099e-05
"7","CBF4",9882.63770061734,7342.45540611469,294.113361609478,148.051840891651,4416.81457730829,-5.28378100879839,0.344464736013304,-15.3391057382266,4.18926284091981e-53,1.31673767668661e-50
"8","CBL04",1094.3194077653,1208.01322876951,5740.17868249309,5884.31544805607,3481.70669177099,2.33600037628255,0.229365734985189,10.1846092069219,2.32291323192388e-24,1.35836402829596e-22
"9","CHI4C",2929.43943095068,1896.46155733635,440.176416192563,189.784574565807,1363.96549476135,-2.93746278162471,0.400305838297158,-7.33804631508809,2.16734175457018e-13,4.75444348254458e-12
"10","CHIT3",580.922734612253,167.889996432605,4.96813110826821,11.9236381926162,191.426125086436,-5.4702126673701,0.674380414431173,-8.11146431644834,5.00133487545649e-16,1.40120964282288e-14
"11","CHS",60425.8947028301,53455.5788049824,14773.2346635463,12083.6136717004,35184.5804607648,-2.08417059733283,0.236639423326346,-8.80736847663199,1.28117996418359e-18,4.60218145705661e-17
"12","CHS3",17422.7168867897,15644.5660581104,1166.51718422138,1201.30654790608,8858.7766692569,-3.80377041760948,0.225027019005688,-16.9036164386701,4.23140031479799e-64,2.83729495774921e-61
"13","CIPK02",42780.7390253513,39087.5727789187,100226.083351981,70261.0316865067,63088.8567106895,1.05828609549187,0.260353353239303,4.06480685700696,4.80722543408184e-05,0.00026860329122957
