"","Row.names","A1_A","A1_B","F1_A","F1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ACO2",1885.76456927978,3848.55530283971,11224.0017997995,12121.3718593104,7269.92338280735,2.0254434466715,0.337511970554141,6.00110106715931,1.95983948199881e-09,2.56500527130045e-08
"2","APX",7992.90101007526,5263.20237337243,15552.2376213228,15033.7204878569,10960.5153731568,1.2062128432535,0.273036889978558,4.41776509887812,9.97267172250261e-06,6.50909358760099e-05
"3","CBL04",1094.3194077653,1208.01322876951,5740.17868249309,5884.31544805607,3481.70669177099,2.33600037628255,0.229365734985189,10.1846092069219,2.32291323192388e-24,1.35836402829596e-22
"4","CIPK02",42780.7390253513,39087.5727789187,100226.083351981,70261.0316865067,63088.8567106895,1.05828609549187,0.260353353239303,4.06480685700696,4.80722543408184e-05,0.00026860329122957
"5","CIPK03",22143.5830070404,24523.8606623389,68320.7453746828,77787.8282955957,48194.0043349145,1.64655280282396,0.225855060772983,7.29030732005153,3.0924878858016e-13,6.73252016350486e-12
"6","CIPK11",2140.97336038294,2098.12823944178,5236.41018811469,5452.08356357374,3731.89883787829,1.33422826441197,0.224321992963651,5.94782636684299,2.71726605901201e-09,3.4749220624975e-08
"7","CIPK13",4815.20400023046,6261.60146458407,21293.4099300375,20354.6440313118,13181.214856541,1.91070771066711,0.243395793302169,7.85020843928483,4.15346381044955e-15,1.07807842594843e-13
"8","ETR1",912.594860014805,934.819447592196,1771.63555320844,1930.63575068777,1387.4214028758,1.00290353314784,0.24214379244413,4.14176850467575,3.44638101134709e-05,0.000199560738123943
"9","FLS1",262.160003312196,234.449935846714,1411.94286096983,1087.03834856017,748.897787172227,2.33115361213647,0.287929248783027,8.09627233769898,5.66688810541904e-16,1.5810696411735e-14
"10","GFH2",1103.25668060549,901.042761919364,2598.33256962427,1873.00483275679,1618.90921122648,1.15760791641838,0.281540380852054,4.11169407711603,3.92766512736629e-05,0.000224776420205122
"11","GRIP32",29706.501890471,22837.0132425605,113810.94105443,73870.9131493213,60056.3423341957,1.83670497330591,0.289460303437971,6.34527412391627,2.22029739966657e-10,3.32317726872713e-09
"12","GRIP55",2597.76730554813,3434.29418738174,10209.5094274912,10637.8725408457,6719.86086531669,1.78914387217688,0.248387907361373,7.20302325174755,5.88919252832445e-13,1.23789965412513e-11
"13","GRIP58",10430.7904348156,6057.94791861553,17358.6500922891,16424.8116103288,12568.0500140122,1.03483642544729,0.299404829569018,3.45631173330402,0.00054762160223317,0.00231671002114037
"14","GST3",175.766365857041,84.4417141820793,372.609833120116,357.709145778485,247.63176473443,1.48885248583892,0.422484191859464,3.52404306368503,0.000425015168120552,0.00186103724900153
"15","HSP101",2344.54457507612,2694.18739837411,15106.0994478003,13011.6701776924,8289.12539973573,2.48035001597639,0.235151682704407,10.5478727068871,5.19601995802589e-26,3.43826110117266e-24
