"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC104879287",803.80183649711,-0.348822586456777,0.326437531287887,-1.06857377912575,0.285261768940047,0.999412902363502
"LOC100259472",350.061954005923,0.126040360021237,0.354082620122164,0.355963136450333,0.721868172211092,0.999412902363502
"LOC100257674",850.446044407139,0.172787840244524,0.281097973168973,0.614689029225613,0.538760106334419,0.999412902363502
"LOC104879282",1337.38576129388,-0.872248238520098,0.388464648557826,-2.2453735282176,0.0247441633462465,0.999412902363502
"LOC100254292",3347.57663746406,0.0923652952478107,0.258894940319943,0.35676747924724,0.721265884022034,0.999412902363502
"AP1",275.788038276743,0.726146292985807,0.394028003418744,1.84287991382712,0.0653465455806433,0.999412902363502
"LOC100232936",27.6029384745616,1.41474068618299,0.823578702594196,1.71779658911369,0.0858337238991814,0.999412902363502
"LOC100266436",211.803940885704,-0.49040191848286,0.389543071197408,-1.25891577785076,0.208060754269802,0.999412902363502
"LOC100245772",1827.37983783079,0.00134095721988104,0.295901559447473,0.00453176800549807,0.996384184651563,0.999991389392898
"LOC100261225",12.2970820270594,-1.32220547876129,1.22938627200588,-1.07550044186192,0.28215073448786,0.999412902363502
"LOC100268093",111.919074544189,0.272330080952638,0.536169783146087,0.507917621456929,0.611511116272842,0.999412902363502
"LOC100256140",3179.73006721418,0.0660205536835802,0.29512946234776,0.223700314968169,0.822990500848783,0.999412902363502
"LOC100257818",31.8701073194778,-0.528622250470118,0.784932486471164,-0.673462061490989,0.50065337709706,0.999412902363502
"LOC100250986",2765.62360138432,-0.856189258837763,0.382541123008384,-2.23816266367524,0.0252104494501403,0.999412902363502
"LOC100252672",499.372606675419,0.18270326498108,0.324257285912104,0.563451533454842,0.57312745423016,0.999412902363502
"LOC100247573",1436.44237255957,-0.293672276333105,0.284712880114086,-1.03146818020818,0.302321322472073,0.999412902363502
"LOC100245849",2464.07171479035,-0.303170955351503,0.277510321309465,-1.09246731408387,0.274627749697816,0.999412902363502
