ID,A1_A,A1_B,AF_A,AF_B
LOC104881174,3171.928143,3340.388171,4725.535789,3205.627942
LOC109121387,475.7892215,329.3864659,522.4162602,428.4663643
LOC100241717,5512.863541,5477.678318,6054.890098,4915.121293
LOC100244944,153.3535507,277.2801323,227.4271151,259.703082
LOC104881200,45.87499381,23.26175606,28.54733662,18.36284418
LOC100250083,23.59285396,14.88752388,19.98313564,22.73494994
LOC100255244,51.11785024,61.41103601,80.88412043,61.20948061
LOC100260321,348.6499529,414.9897282,364.4543309,447.7036296
LOC100243221,55.04999257,80.02044086,80.88412043,83.94443055
LOC100246834,4078.942306,2101.001808,1852.722147,2714.203254
LOC100251974,323.7463849,352.6482219,349.2290847,355.0149875
LOC100257104,356.5142376,615.0408303,732.7149734,922.5143149
LOC100248350,95.68212994,81.88138134,78.98096466,72.57695558
LOC100258609,968.6177264,1439.437465,1318.886952,1816.172732
LOC100262210,29244.65319,16848.02468,15230.95567,16939.28655
LOC109121670,44.5642797,133.0572447,116.0925023,117.1724343
LOC100263984,2194.135418,1825.582616,1799.433785,1548.599859
LOC104881234,197.9178304,62.34150625,75.17465311,46.34432103
LOC100251959,19.66071163,58.61962528,53.2883617,66.45600752
LOC100257085,1794.367615,2173.578487,2214.321744,1711.242194
LOC104881244,57.67142078,72.57667892,79.93254255,81.3211671
LOC104881245,169.08212,345.20446,282.6186326,307.7962454
LOC100255371,2880.949611,2739.304394,2818.573703,2357.439425
LOC100255355,1344.792676,1139.826047,1470.187836,1288.896777
LOC100260448,1994.906873,1702.760544,2008.78092,1938.591693
LOC100243335,1211.099836,1343.59903,1278.920681,1533.7347
LOC100265666,808.7106051,1130.521345,1081.944058,1352.729521
LOC100243346,1104.931994,1976.318795,1541.556178,2721.198624
LOC100248471,277.8713911,306.1247098,285.4733662,298.1776127
LOC104881257,1639.70335,1017.934445,781.2454456,767.7417711
LOC109121674,1241.246261,1137.965107,1740.435956,1627.297763
LOC100263869,1365.764101,1251.482476,1032.462008,1207.57561
LOC100241597,28.83571039,23.26175606,47.57889437,34.97684606
LOC100246730,821.8177462,677.3823366,668.007677,694.2903944
LOC100253577,1876.942604,3262.22867,4331.582544,4950.098139
LOC100251859,724.8249021,495.9406393,451.9994965,562.2528005
LOC100258722,1015.803434,709.9487951,452.9510744,511.5363737
LOC104881268,15292.10151,14166.40944,14051.95066,15956.43717
LOC100250089,1574.167645,1937.239045,1756.61278,2074.126972
LOC100852686,5949.33134,4306.216283,4398.192996,4310.021856
LOC100260326,478.4106497,470.8179427,283.5702105,565.7504851
LOC100265543,115.3428416,294.0285966,196.0250448,357.638251
LOC100254757,2124.66757,1826.513086,1796.579052,1992.805804
LOC100259874,2756.431771,3171.042587,2991.760878,4029.332666
LOC100251367,263.4535359,240.9917928,322.5849039,316.5404569
LOC100261612,686.814193,670.8690449,852.6137872,577.9923812
LOC100265062,4587.499381,5004.068964,5969.248088,5289.373546
LOC100266802,1610.86764,1931.656224,2008.78092,1921.10327
LOC100244486,817.8856038,1199.376143,1403.577384,1588.823232
LOC100242771,2612.253219,2077.740052,2002.119875,1819.670416
LOC100247918,2125.978284,1417.106179,1315.08064,1007.333167
LOC100259868,1825.824753,994.6726893,795.5191139,937.3794745
LOC100253040,598.9963477,387.0756209,437.7258282,308.6706665
LOC100265054,1634.460494,1854.427193,2108.696599,1964.824328
LOC100263310,3713.25307,3081.717443,3061.226064,3500.30787
LOC100258173,1385.424813,1444.089816,1328.402731,1506.627644
LOC100241044,9300.827316,7363.7415,8080.79942,9372.045903
LOC100246151,1523.049794,1382.67878,1481.606771,1213.696558
LOC104881918,17.03928341,12.09611315,5.709467325,9.618632667
LOC100251292,985.6570098,705.2964439,511.9489035,688.1694463
LOC100256446,3415.720967,3369.232748,3398.084636,3836.085592
LOC100261533,4202.149433,4155.480103,3564.610766,4039.82572
LOC100266730,283.1142475,352.6482219,266.4418085,312.1683511
LOC100244412,646.1820556,371.2576268,249.3134065,346.270776
LOC100249570,765.4570395,1329.641977,1284.630148,1200.580241
LOC100244404,3.932142326,22.33128582,18.07997986,21.86052879
CBL05,3.932142326,8.374232183,9.515778875,18.36284418
CBL08,306.7071014,267.9754299,442.4837177,189.7493899
LOC100254675,825.7498885,1169.601095,1336.966932,1192.710451
LOC100233084,1072.164141,807.6481705,885.9190132,862.1792555
LOC100259778,482.342792,612.2494196,668.9592549,643.5739676
LOC100264977,823.1284603,680.1737473,546.2057074,570.997012
LOC100264984,416.8070866,282.8629537,298.7954567,243.9635013
LOC100242702,2550.649656,2020.981367,1904.107353,1710.367772
LOC100247840,2426.131815,1141.686988,3318.152094,943.5004226
LOC100252953,33357.67407,60038.5924,90800.5136,68579.9765
LOC100247833,5105.231454,4777.964696,4150.782745,3969.872028
LOC100253121,477.0999356,621.554122,464.3700091,556.1318524
LOC100258251,322.4356707,364.7443351,393.0016675,528.1503756
LOC100241114,49.80713613,66.06338722,55.19151747,61.20948061
LOC100256514,48.49642202,23.26175606,30.4504924,39.34895182
LOC100244488,20.97142574,23.26175606,95.15778875,29.73031915
LOC100259871,3.932142326,23.26175606,33.30522606,25.3582134
LOC100267402,7.864284652,40.01022043,26.64418085,32.35358261
LOC100262236,28.83571039,51.17586334,92.30305508,57.711796
LOC100247913,60.292849,110.7259589,91.3514772,86.56769401
LOC100258169,111.4106992,104.2126672,196.0250448,78.69790364
LOC100263304,19.66071163,15.81799412,39.96627127,3.497684606
LOC100241038,18.34999752,31.63598825,11.41893465,27.1070557
LOC100246145,95.68212994,104.2126672,256.9260296,121.5445401
LOC109124189,435.1570841,334.0388171,249.3134065,272.8193993
LOC100261528,1984.421161,2263.8341,1472.090992,1740.098092
LOC100266728,73.39999009,129.3353637,113.2377686,133.7864362
LOC100244408,1285.810541,740.6543131,664.2013655,850.8117805
LOC100258086,11603.752,9110.234145,9762.237548,9017.905336
LOC100249566,1850.728322,1776.267693,1653.842368,2130.964346
LOC104881368,310.6392438,284.7238942,258.8291854,276.3170839
LOC100259783,353.8928094,182.3721675,218.8629141,173.135388
LOC100263398,744.4856138,936.9835343,1333.16062,1009.95643
LOC100241122,18.34999752,17.67893461,22.8378693,6.120948061
LOC100246244,1506.010511,1877.688949,1947.879936,1894.870635
LOC109121686,20.97142574,17.67893461,11.41893465,15.73958073
LOC100258256,1664.606918,1875.828009,2364.67105,1929.847482
LOC100854404,650.1141979,361.0224541,343.5196174,323.5358261
LOC100251379,15185.93366,14009.15997,11494.1093,14618.57281
LOC100263393,1433.921235,2028.425129,2345.639493,2247.26236
LOC100256523,2732.838917,3349.692873,3394.278325,3417.23786
LOC100246241,1106.242708,1104.468178,1245.615455,995.0912705
LOC100261623,366.9999504,285.6543645,267.3933864,347.1451972
LOC100251375,1005.317721,880.2248495,1002.963093,1035.314643
LOC100261618,52.42856435,51.17586334,65.65887424,118.0468555
LOC100249640,325.057099,1177.044857,1040.074631,1060.672857
LOC100266812,1572.85693,1255.204357,1367.417424,1504.878802
LOC100244495,846.7213142,630.8588245,627.0898278,596.3552254
LOC100249644,1761.599762,1174.253446,1238.002832,1384.208683
LOC100247886,876.8677387,963.9671713,831.6790736,940.8771591
LOC100258139,1119.349849,1071.901719,1383.594248,813.211671
LOC100263375,4375.163695,4848.680434,5857.913475,4414.952394
LOC100246117,1069.542713,893.2514329,1085.75037,1175.222028
LOC100241103,546.5677833,364.7443351,260.7323412,257.0798186
LOC100251260,1159.981986,1449.672638,1225.632319,1673.642084
LOC100256414,2359.285396,2470.398494,2514.068779,2658.240301
LOC100246223,380.1070915,361.9529244,374.9216877,529.8992179
LOC100251359,1263.528401,1021.656326,848.8074756,1110.514863
LOC100256504,3810.245914,2900.275746,2672.982286,2853.236218
LOC100261603,3390.817399,2784.897436,2569.260296,2771.040629
LOC100244479,542.635641,431.7381925,435.8226725,370.7545683
LOC100266795,1757.66762,1586.451764,1872.705283,1810.926205
LOC100249628,2293.74969,2961.686782,3519.886606,3037.739081
LOC100266707,10741.30212,6388.608685,4639.893779,5706.472435
VVYS1,2264.91398,1683.220669,2235.256458,1722.609669
LOC100259860,34.07856683,52.10633358,47.57889437,55.9629537
LOC100232876,1789.124758,2020.981367,2184.82283,1890.49853
LOC100265048,6300.602721,7366.53291,8300.613912,7886.404366
LOC100242761,141.5571237,117.2392506,81.83569832,111.9259074
LOC100249542,783.807037,968.6195225,1022.946229,1091.277597
LOC100253026,5404.07427,4476.492337,12619.82594,3631.471043
LOC100258159,1233.381976,869.0592065,1061.960922,812.3372498
LOC100263293,2700.071064,1846.983431,1730.920177,1663.14903
LOC109121698,68.15713365,48.38445261,51.38520592,27.1070557
LOC100241028,16846.60844,9648.045945,8109.346757,10187.88084
MIR166E,58.98213489,40.01022043,33.30522606,24.48379224
LOC100259927,44.5642797,51.17586334,19.03155775,20.98610764
LOC100246135,17.03928341,13.0265834,31.40207029,30.60474031
LOC100251279,1267.460543,1360.347495,1612.924519,1712.116615
LOC100256431,30.1464245,36.28833946,71.36834156,48.96758449
LOC100232903,74.7107042,120.9611315,87.54516565,156.5213861
LOC100266719,4330.599415,4959.406393,4334.437277,4509.389879
LOC100253094,60.292849,93.04702426,44.72416071,93.56306322
LOC100258227,667.1534813,838.3536885,849.7590535,634.829756
LOC100263362,916.189162,1274.744232,1181.859736,1774.200517
LOC100241093,703.8534764,530.3680383,346.374351,658.4391271
LOC100244394,35.38928094,36.28833946,27.59575874,20.98610764
LOC100246209,73.39999009,78.15950037,49.48205015,76.07464019
LOC100256495,131.0714109,133.0572447,215.0566026,69.07927097
LOC100261591,4494.438679,4056.850258,4137.460655,4949.223718
LOC100244469,2658.128213,2479.703196,2811.912657,2249.011202
LOC100259769,3221.735279,2662.075364,3351.45732,2660.863564
LOC100254667,3053.963873,3622.320654,2944.181984,3791.490113
LOC100249556,23398.86827,10639.92722,9745.109146,9979.768603
LOC100264969,85736.43128,73757.44566,75619.99156,61381.74158
LOC100242684,10340.2236,5179.92784,4299.228896,5120.610264
LOC109121706,7.864284652,13.0265834,5.709467325,16.61400188
LOC100247984,6957.270489,5285.070978,5923.572349,5772.928443
LOC100253114,1470.62123,1657.167502,1294.145927,1614.181446
LOC100242748,182.1892611,237.2699119,210.2987131,229.0983417
