"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC104879287",590.647122420427,0.0155612948561573,0.250468733256682,0.0621286922875519,0.950460347987263,0.965351550428424
"LOC100259472",236.563426404097,-0.848230377649273,0.302090550804622,-2.80786795677654,0.00498706705425405,0.0123473192774249
"LOC100257674",862.22843791794,0.379451952886093,0.206533670342918,1.83724015680383,0.0661744499113181,0.115686593849066
"LOC104879282",591.407300343546,-0.990269776642843,0.242653518250547,-4.0810031677363,4.48417438705048e-05,0.000186208320864575
"LOC100254292",3186.75739778759,0.287095362286336,0.177616656514152,1.61637634623227,0.106012969274737,0.171332629218734
"AP1",209.481514801951,-1.10150625996519,0.422720554136894,-2.60575514766304,0.00916719681858625,0.0210517429016968
"LOC100232936",23.358309922226,-1.31139585487025,0.780549284003206,-1.6800935978629,0.0929391063341528,0.154068002627961
"LOC100266436",225.11751457074,1.04294161655743,0.313402659603609,3.32780078470471,0.00087534437623081,0.00268171661318548
"LOC100245772",1223.06489824579,-0.719428735248934,0.242869202321446,-2.96220652257401,0.00305442835026792,0.00802542226871423
"LOC100268093",75.5420165599279,-1.02882590343961,0.517495331888392,-1.98808731217985,0.0468020343557823,0.0858449716994491
"LOC100256140",2352.68249093675,-0.438784783273666,0.242012655374539,-1.8130654473197,0.0698217276314885,0.120998316921625
"LOC100257818",20.3753579113313,-0.141109052327789,0.821697663336384,-0.171728676645904,0.863650840013794,0.902957827726533
"LOC100250986",2425.89471123887,0.974793169933951,0.204157233151427,4.77471777456413,1.79959449052718e-06,9.96324047392759e-06
"LOC100252672",379.189863487332,-0.473353398903386,0.256902923637989,-1.84253799917982,0.0653964935397963,0.11454179614689
"LOC100247573",1506.02636405407,0.85465624151468,0.197198530763047,4.33398889032106,1.46431567596582e-05,6.79012534111199e-05
"LOC100245849",1554.54726868072,-0.527195083738418,0.231060160402924,-2.28163558278109,0.0225108641110715,0.045928266210667
"LOC100242441",422.938257421779,-1.6376698740168,0.248799758192914,-6.5822808105263,4.63285510859336e-11,5.1173922483912e-10
"LOC100259261",698.491906760517,-0.0115149447950223,0.236033376489431,-0.0487852394703081,0.96109044536409,0.972253211867355
"LOC100267868",1783.08102630773,0.509208418956471,0.217867453292461,2.33723950622822,0.0194267340431099,0.0404009746387292
"LOC100249034",74.050342790036,-1.32563518927213,0.547406473367104,-2.42166516796584,0.0154495783912022,0.0331504319646847
"LOC100257592",5021.06442604128,0.214179695921818,0.197723068091997,1.08323069224358,0.278706039725132,0.378863998213058
"LOC100262720",363.519844327296,0.837020560181706,0.25701030665938,3.25675873104584,0.00112692175182795,0.00334239014873418
"LOC100266204",1887.70234955595,0.487089749787556,0.224702496383855,2.16770956098089,0.0301807915666829,0.0591422155851474
"LOC100250757",1152.28858194037,-2.2104746112834,0.275542208808793,-8.02227223494937,1.03806761002542e-15,1.8786178463307e-14
"LOC100245623",1679.53734034576,-0.699630917146374,0.206482342059443,-3.38833292071514,0.000703188556862233,0.00221258468591179
"LOC100854554",1405.97678518366,-1.60089770812298,0.192028639162394,-8.33676536534291,7.63503533447544e-17,1.55033634152821e-15
"LOC100854459",34.5392019155598,-0.187346263888774,0.606082018734642,-0.309110414263583,0.757237537436952,0.821407489334864
"LOC100262794",430.374076182668,-0.203831417048138,0.234186207118209,-0.870381819477741,0.384091778773504,0.488783295693613
"LOC100257668",402.291220758795,-0.0163042770924148,0.25255825248227,-0.064556501053393,0.948527119554385,0.963926969020364
"LOC100252537",412.246169552134,-1.1557786960874,0.268593526956946,-4.30307725276142,1.68442084396887e-05,7.70946463201135e-05
"LOC100854391",360.79972909832,-0.323551518000737,0.310922124915039,-1.0406191521081,0.29805233891301,0.399301955286785
"LOC100247428",367.269054119263,-1.34275039544317,0.268213054235166,-5.00628278244005,5.54912173712929e-07,3.36731170221057e-06
"LOC100242289",503.426729802616,-0.137080379924666,0.228843026950335,-0.599014886979343,0.549162957248592,0.643735605576094
"LOC100264579",156.789325027351,0.901393539605433,0.324172481848814,2.78059857044196,0.00542587848082263,0.0132922657983815
"LOC100259407",111.81655737199,0.558097206946619,0.447934121429365,1.24593590942731,0.212787925457521,0.304739942503817
"LOC100252466",339.439046803629,-0.875244805938922,0.277994519767247,-3.14842467639912,0.00164153022385465,0.00466067979218434
"LOC100247350",1269.74615549653,0.112742383718496,0.19396802946521,0.581242094531446,0.561077300927757,0.654469423712855
"LOC100254284",202.772166748792,-1.57580222632641,0.338000887788722,-4.66212451877171,3.12961730625596e-06,1.6522312877082e-05
"LOC100242217",7780.31089623308,1.00211085909944,0.175118788666848,5.72246340171922,1.04990466180166e-08,8.41074309892619e-08
"LOC100249185",2549.39625811207,0.437288144713174,0.179509738925826,2.43601348500575,0.01485013090733,0.0320253376263019
"LOC100264496",355.594353623237,-1.35124478160333,0.286273245203614,-4.720122485223,2.35702670508559e-06,1.27865419029133e-05
"LOC100259322",70.0764588768705,-2.51477421312015,0.518596651291043,-4.84919099816715,1.23966014671066e-06,7.07567314079024e-06
"LOC100853084",180.901892418897,-1.46104235546144,0.320613762440909,-4.5570169675131,5.18852341873309e-06,2.62283767188513e-05
"LOC100254211",1871.54838910293,0.598132547336965,0.213692503342069,2.79903383592031,0.00512557661593782,0.0126474143670905
"LOC100244013",131.699214284602,-0.711153395469837,0.376314821371239,-1.88978311531417,0.058786972657456,0.104712297734066
"LOC100243945",2070.1447332893,-0.587666493291569,0.180626387790366,-3.25349192042534,0.00113995967025227,0.0033791013078528
"LOC100261141",1866.82852703747,0.136204245490591,0.285632575873478,0.476851231250749,0.63346806161823,0.718407817220852
"LOC100256055",77.2785331847774,0.00904939568935119,0.430018386515532,0.0210442064179605,0.983210391851033,0.987775167036143
"LOC100249104",54.6714806482507,-5.75512413623361,0.909036387912394,-6.33101624177033,2.4355170333293e-10,2.46295269951503e-09
"LOC100266271",3228.5890375698,-0.123103763332181,0.2297335030383,-0.535854638979919,0.592059016517008,0.683026938905992
"LOC100261061",6103.3089989081,-1.81609479221161,0.197114100814311,-9.21341895231759,3.1589922507264e-20,8.60962095710625e-19
"LOC100250913",922.634267049908,-0.590379178497001,0.209034194104315,-2.82431867679209,0.00473812490594202,0.0118138555944477
"LOC100245765",39.7600331445017,-1.83663531116653,0.790306615333181,-2.32395285011278,0.0201280212285217,0.0416099725790711
"LOC100262937",1151.22248053355,-0.175480900120374,0.204182559152765,-0.85943138752161,0.390102559085543,0.495095480101469
"LOC109122923",134.429000797027,-0.048267530520808,0.346335728812239,-0.139366304153319,0.889160697859867,0.92129903633673
"LOC100257811",217.428151255272,-0.731032014161895,0.312872905924372,-2.33651428525614,0.0194644539628386,0.0404629741734085
"LOC100252667",40.7524643091614,-0.718419932205139,0.615223575654339,-1.16773797467212,0.242912473974045,0.339775337750342
"LOC100247567",7.95209223355138,-4.95445084197135,1.88466807121677,-2.62881879182718,0.00856820042771576,0.019856649270209
"LOC100264718",1119.41533700041,0.1170397773519,0.202149034635133,0.5789776714153,0.562604239502123,0.655885605406929
"LOC109122935",1441.18640509122,0.357789291899894,0.21217324515148,1.68630729875698,0.0917366259654377,0.152457393655455
"LOC100245694",1634.99770725004,0.369221384051013,0.191512663082564,1.92792151760657,0.0538648888523419,0.0971628223345143
"LOC100259545",2155.55383715937,0.323395113563721,0.205112537767165,1.57667160225391,0.114871107865651,0.183270857884025
"LOC100249028",235.807064842988,0.794600250274023,0.292975476123904,2.71217325349776,0.00668436454758163,0.0160318225404149
"LOC100262861",3831.82870194142,-1.96193031825592,0.232432406031534,-8.44086395590532,3.15000606294842e-17,6.63999218294834e-16
"MIR398A",40.2519836184969,1.08061311869968,0.631655251963383,1.71076408427032,0.0871246721883426,0.145870575897832
"LOC100252601",485.525664033311,0.964473349935769,0.239933154969199,4.01975854508136,5.82578175512168e-05,0.000236124857058582
"LOC100247494",2222.396124622,0.460442423737656,0.194494591634608,2.36737906112411,0.0179145739387863,0.0376540870177736
"LOC100266199",512.869304412214,0.0864870092990491,0.291413096895346,0.296784908504331,0.766630727918869,0.829398897354163
"LOC100260996",31.0614417794455,-0.34814372353331,0.71849332398547,-0.484546914927703,0.627997777475554,0.713667120613494
"LOC100255915",58.8908591232496,-0.158696948133513,0.510022514863843,-0.311156749964027,0.755681460607465,0.820110717694252
"LOC104879181",905.204760772663,0.506247820570833,0.218734156275392,2.31444338274016,0.0206434135196189,0.0425293797603986
"LOC100267935",165.985483844744,-0.260140411363547,0.359547737767405,-0.723521201882334,0.469359733077371,0.571564434592315
"LOC100262788",228.104368818723,0.658448175311604,0.300213504795785,2.19326634143092,0.028288195195619,0.0559646700835852
"LOC100242357",2831.94982338151,0.206442813110403,0.17985339423801,1.14783940545045,0.251034866603421,0.349007316864421
"LOC100244008",35.7840847242213,-4.08762272230295,0.861917124974767,-4.7424776743154,2.11120101537089e-06,1.15540273750298e-05
"LOC109123391",21.1202837475063,0.444504584418927,0.795571749981505,0.558723439374589,0.576350480017613,0.668029991788918
"LOC100261136",55.658846347306,0.494024929121795,0.537186911192665,0.919651835940975,0.357754729365445,0.462543351693003
"LOC100256051",172.195158786357,-0.0461006527439394,0.396594168060926,-0.116241378357478,0.907461243821669,0.934348646236829
"LOC109123055",599.349890368955,-0.68765637467149,0.237284658994897,-2.89802289614635,0.00375523174154868,0.00963184001077924
"LOC100252664",1021.76432836727,-0.137889421682381,0.196856588685579,-0.700456218423141,0.48364243795072,0.584436971305664
"LOC100247562",1125.12712762962,0.274614463795453,0.222553151421164,1.23392754513625,0.217229904304729,0.309930411355722
"LOC100853109",313.578776319496,0.484380622898883,0.265466889755456,1.82463667444587,0.0680558752132807,0.118369107228537
"LOC100264713",446.024566912184,0.0495807824419586,0.2347750112154,0.21118424054283,0.832743507665628,0.880084376253424
"LOC100264641",1067.98467225036,0.258250693264513,0.249470171182366,1.03519668119251,0.300577068392943,0.401816627554988
"LOC100259539",163.502986161717,0.0436201711231223,0.331735549464517,0.131490794982731,0.895387067892028,0.925537531208819
"LOC100259464",1828.59045976582,-0.0806203721426879,0.247744830425956,-0.325416970372599,0.74486551336792,0.811772926234737
"LOC104877428",89.7031999840519,-0.492564846755246,0.44176394727419,-1.11499557579226,0.264852317618881,0.363844919904768
"LOC100249022",83.4942384439351,-1.90034675101301,0.427857772593543,-4.44153845679533,8.93179797779511e-06,4.33521558002158e-05
"LOC100254353",1078.92252754055,-0.312434284766388,0.254185565632209,-1.22915824897178,0.219012479259546,0.312103838020218
"LOC100243868",603.311416529457,0.387116123286391,0.235560378272637,1.64338385820702,0.10030353773377,0.163926286356978
"LOC100249255",1354.7344661855,0.296114620174902,0.264502348184168,1.11951603533109,0.262920053859749,0.361802316955852
"LOC100266192",462.18453880954,-0.422067017188561,0.23037601550264,-1.83207881370674,0.0669396793240935,0.116745173517855
"LOC100260989",232.087873343225,0.19159979256942,0.430868569539868,0.444682685427792,0.656549083745125,0.737878686914958
"LOC100244086",967.093476920778,0.282388165632203,0.211075857910318,1.33785155928246,0.180944830585357,0.267117114491243
"LOC100266425",2776.7850208204,0.282879450101233,0.182642496057106,1.54881506882597,0.12142618208472,0.192037636757074
"LOC100261218",462.421090781921,0.569880058117417,0.233788504278926,2.43758802373581,0.0147856139665058,0.0319063728694191
"LOC100256132",473.605610777676,0.432915887246843,0.24775339036951,1.74736614744675,0.0805738456965632,0.136442911699947
"LOC100250979",26.0902280632678,0.414772060937415,0.692078232438342,0.599313836928641,0.548963622444353,0.643575658639729
"LOC109121469",1920.55828287755,-0.527581804653124,0.217398063106407,-2.42680085146341,0.0152326148376662,0.032760445570805
"LOC100247417",2619.95039570679,0.556627529310098,0.28570367032496,1.94826873829443,0.0513828157086124,0.0931865560804429
"LOC100242282",77.7778491296258,-1.28687670401784,0.431069796302453,-2.98530937462138,0.00283291646422077,0.00751771479186706
"LOC100264569",10.1886609759368,-6.8004666690405,1.83100843078631,-3.71405535588938,0.000203964147759807,0.000729594228652172
"LOC100259396",11.4310868705129,-4.45973549260776,1.46532500992829,-3.04351284690489,0.00233833456800134,0.00636027002496364
"LOC100245839",3468.04851352073,0.0789687631143114,0.267314806453592,0.295414848739481,0.767676991548443,0.830081783214892
