"","Row.names","F1_A","F1_B","AF1_A","AF1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","18Srrn",51026.8224955012,53610.9904419112,23466.6997320891,20227.1519597383,37082.9161573099,1.25990228162419,0.17885263669436,7.04435956276802,1.86316454316534e-12,2.45558608303336e-11
"2","5Srrn",731.567347605753,610.141763324068,262.408773318291,269.390514108957,468.377099589267,1.33511752038806,0.243618481899723,5.48036220395468,4.24455987105056e-08,3.13185477435699e-07
"3","ACO2",12355.1387645917,13225.369263974,3108.15240214506,4076.64390539053,8191.32608402532,1.83202606935165,0.206096857473355,8.88915091579451,6.15776452866779e-19,1.50223032625474e-17
"4","APX",17120.2662977738,16402.2800414122,10780.6271038264,5097.54448837909,12350.1794828479,1.07808741538251,0.314471715781203,3.4282492233184,0.000607487495984156,0.00193888259282765
"5","atpF",317.078782454124,229.54844841671,120.270687770883,123.263556271257,197.540368728243,1.16643080562505,0.325894427549773,3.57916769057645,0.000344690246753563,0.00116942151011966
"6","CBL04",6318.7141694698,6420.40054207948,2075.41484351739,1243.57023302696,4014.52494702341,1.94045092965738,0.262158711803258,7.40181745748592,1.34333081913296e-13,2.00695585445353e-12
"7","CIPK03",75209.2980388441,84869.3280756601,24693.2619528269,23128.8158368012,51975.1759760331,1.74303214541967,0.175498107507767,9.93191419652508,3.02393846510859e-23,1.03848947154098e-21
"8","CIPK11",5765.06877189316,5948.3853342962,3156.85706082913,2051.74177535383,4230.51323559308,1.16919943906499,0.243371963901656,4.80416651252996,1.5539746877566e-06,8.70940687541129e-06
"9","CIPK12",4386.42215351112,4739.0326861441,2286.13704027299,1911.57918314216,3330.79276576759,1.12029193609069,0.194061539696793,5.77286946110527,7.79328175270768e-09,6.38051563657683e-08
"10","CIPK13",23440.9684219925,22207.570239033,8721.11582232834,6629.39239333076,15249.7617191711,1.57228239205285,0.204547785023528,7.68662633952257,1.51065505023549e-14,2.45397520382699e-13
"11","FLS1",1553.58663628776,1186.49717493312,288.252061599637,250.5033562932,819.70980727843,2.3465165307869,0.244206682366926,9.6087318661543,7.34479669050012e-22,2.26065110768656e-20
"12","GFH2",2860.66688370836,2043.08056253141,1478.0372951678,939.387586099501,1830.29308187677,1.02041330397315,0.281980784230871,3.61873347773119,0.000296048337206459,0.00102012076867707
"13","GRIP32",125285.878164357,80595.3545837109,36593.1022337609,22533.373335136,66251.9270792413,1.79993659480713,0.291769303782819,6.16904030503131,6.87057148253941e-10,6.51050264373225e-09
"14","GRIP55",11238.9021730683,11606.6055303341,5528.47574695581,3472.2548552863,7961.55957641111,1.34379668139952,0.248865157839245,5.39969794513199,6.67531935648945e-08,4.76230172842894e-07
"15","GST3",409.518678279307,390.53047717648,140.150140294996,143.144775024686,270.836017693867,1.49778389168953,0.270849144847168,5.52995614047325,3.20310863068468e-08,2.40631425746069e-07
"16","HSP101",16629.2414747884,14196.2300176672,7450.81880603753,2614.38026607586,10222.6676411422,1.61474946145612,0.702323794614324,2.29915243344824,0.0214962849707376,0.0440779363635601
"17","IFRL5",5681.57467243816,6140.17256609025,1904.45155181002,1655.11146122293,3845.32756289034,1.73167129157233,0.187178540626979,9.25144135525298,2.21485500054324e-20,6.11790177477989e-19
"18","LOC100232838",41.7470497275022,19.8743245382432,9.93972626205646,1.98812187534286,18.3873056007862,2.36907850459948,1.01868170816321,2.32563173130022,0.0200382052891722,0.0414577970139267
"19","LOC100232858",10761.7930333254,9834.80949774967,5549.34917210612,4618.40711642146,7691.08970490066,1.01840509961436,0.190839546781118,5.3364468570155,9.47856359366214e-08,6.60113098452115e-07
"20","LOC100232872",105237.354521412,58551.7475221184,29006.1091779332,18733.0783704181,52882.0723979704,1.77859394949459,0.309705288618269,5.74285946949657,9.3090981645543e-09,7.53117079968765e-08
"21","LOC100232920",22389.3403598092,19345.667505526,9085.90377614581,7038.94549965139,14464.9642852831,1.37197250855161,0.207934157893094,6.59811029824639,4.16431420115634e-11,4.62229843108828e-10
"22","LOC100232921",4135.93985514611,3251.4394944566,2139.02909159455,1445.36460337426,2742.94326114288,1.04333341769506,0.253255695715689,4.11968392160597,3.79392483075055e-05,0.00016037598809542
"23","LOC100232957",426.416293645201,360.718990369115,188.854798979073,193.841882845929,292.457991459829,1.04040937001949,0.270647439243089,3.8441500607919,0.000120970969363547,0.000457170199581439
"24","LOC100232960",8927.90477743868,8854.01158178737,4807.84559295671,2354.93036134362,6236.17307838159,1.31182039012905,0.307595480976613,4.26475833118234,2.0011868657076e-05,8.99836492896847e-05
"25","LOC100232973",5837.62912022906,4240.1871402342,2372.61265875288,1946.37131596066,3599.2000587942,1.2224190867503,0.232188833702603,5.26476259541413,1.40370629271056e-07,9.4510067102631e-07
"26","LOC100233020",15672.0412631792,16454.9470014385,8091.93114994017,6804.34711836094,11755.8166332297,1.10883396858153,0.1848560985698,5.99836292749003,1.9931666238006e-09,1.76836300199179e-08
"27","LOC100233041",4284.0424839413,5224.95992110415,2104.24004967735,1892.6920253264,3376.4836200123,1.25040122910255,0.20003618473554,6.25087521418017,4.08158898616031e-10,4.00105188547553e-09
"28","LOC100233045",5096.12199887866,4037.46902994412,1776.22908302949,2268.4470597662,3294.56679290462,1.17515817790551,0.223921776991162,5.24807454503139,1.5369710902401e-07,1.02873526079249e-06
"29","LOC100233057",456.235614879131,460.090613060331,69.5780838343953,92.4476672034429,269.587994744325,2.49964066201787,0.297597454134573,8.39940203550108,4.48757917362824e-17,9.34402548584158e-16
