"","F1_A","F1_B","AF1_A","AF1_B"
"LOC104879287",664.970863516642,522.694735355797,643.100289155053,531.822601654215
"LOC100259472",187.86172377376,150.051150263737,275.330417458964,333.010414119929
"LOC100257674",1017.83283145148,932.105820843608,774.304675814199,724.670423562472
"LOC104879282",381.687311794306,410.404801714723,690.810975212924,882.72611265223
"LOC100254292",3374.55318630643,3631.03909313704,2911.34582215634,2830.09148955056
"AP1",187.86172377376,78.5035819260608,273.342472206553,298.218281301429
"LOC100232936",16.8976153658937,9.93716226912162,40.7528776744315,25.8455843794572
"LOC100266436",275.331732726622,330.90750356175,126.234523528117,167.996298466472
"LOC100245772",927.380890375227,921.174942347575,1247.43564588809,1796.26811437227
"LOC100268093",52.6808008466099,46.7046626648716,65.6021933295727,137.180409398657
"LOC100256140",2054.55123301779,1940.72779115945,2172.82416088554,3242.6267786842
"LOC100257818",16.8976153658937,21.8617569920676,28.8252061599637,13.9168531274
"LOC100250986",3539.55343046751,2891.71422031439,1546.62140637599,1725.6897877976
"LOC100252672",327.018556198767,308.05203034277,486.052614214561,395.636253193229
"LOC100247573",2074.43078050707,1804.58866807249,1097.34577933103,1047.74022830569
"LOC100245849",1406.47798486704,1140.78622849516,1600.29592819109,2070.62893316959
"LOC100242441",218.675022382154,192.780948020959,601.353438854416,678.943620429586
"LOC100259261",786.236103201291,605.173182189507,693.792893091541,708.765448559729
"LOC100267868",2073.43680313261,2115.62184709599,1676.83182040893,1266.4336345934
"LOC100249034",27.8313664850015,56.6418249339933,76.5358922178348,135.192287523314
"LOC100257592",5240.24871817599,5545.93026239678,4133.93215238928,5164.14657120308
"LOC100262720",444.307886385559,487.914667413872,283.282198468609,238.574625041143
"LOC100266204",2346.7805811103,2059.97373838891,1797.10250817981,1346.95257054479
"LOC100250757",402.560836658057,416.367099076196,1440.26633537198,2349.96005665526
"LOC100245623",1411.44787173936,1148.73595831046,2153.93868098764,2004.0268503456
"LOC100854554",674.910637261285,719.450548284406,2063.48717200292,2166.05878318605
"LOC100854459",29.8193212339301,34.7800679419257,34.7890419171976,38.7683765691858
"LOC100262794",387.651176041092,412.392234168547,468.161106942859,453.291787578172
"LOC100257668",357.831854807162,442.203720975912,408.522749370521,400.606557881586
"LOC100252537",227.620818752333,283.209124669966,506.92603936488,631.228695421358
"LOC100854391",278.313664850015,362.706422822939,319.065213012013,483.113615708315
"LOC100247428",183.885814275903,231.535880870534,563.582479058602,490.072042272015
"LOC100242289",452.259705381274,506.795275725203,525.811519262787,528.840418841201
"LOC100264579",212.711158135368,195.762096701696,105.361098377799,113.322946894543
"LOC100259407",158.04240253983,108.315068733426,116.294797266061,64.6139609486429
"LOC100252466",268.373891105371,210.667840105378,398.583023108464,480.131432895301
"LOC100247350",1339.88150077793,1298.7871085742,1165.92989053922,1274.38612209477
"LOC100254284",104.367624318755,99.3716226912162,245.511238672795,361.8381813124
"LOC100242217",10864.1727028952,9893.43875513749,5033.47737910539,5330.15474779421
"LOC100249185",2860.66688370836,3004.99787018238,2220.53484694341,2111.38543161412
"LOC100264496",200.783429641796,199.736961609345,423.432338763605,598.424684478201
"LOC100259322",26.8373891105371,14.9057434036824,134.186304537762,104.3763984555
"LOC100853084",86.4760315783974,106.327636279601,277.318362711375,253.485539106215
"LOC100254211",2304.03955400834,2204.06259129118,1296.14030457216,1681.95110654006
"LOC100244013",97.4097826975051,102.352771371953,132.198359285351,194.8359437836
"LOC100243945",1620.18312037687,1688.32386952376,2485.92553814032,2486.14640511625
"LOC100261141",1875.63530561421,2034.1371164892,2278.18525926334,1279.35642678313
"LOC100256055",84.4880768294687,70.5538521107635,81.505755348863,72.5664484500144
"LOC100249104",2.98193212339301,0.993716226912162,77.5298648440404,137.180409398657
"LOC100266271",3569.37275170144,2612.47996055207,3053.48390770375,3679.01953032196
"LOC100261061",2984.91405551641,2414.73043139655,9072.98213200514,9940.6093767143
"LOC100250913",774.308374707719,698.58250751925,1167.91783579163,1049.72835018103
"LOC100245765",29.8193212339301,4.96858113456081,60.6323301985444,63.6199000109715
"LOC100262937",997.953283962195,1164.63541794105,1198.73098720401,1243.57023302696
"LOC109122923",122.259217059114,142.101420448439,128.222468780528,145.132896900029
"LOC100257811",185.873769024831,141.107704221527,294.215897356871,248.515234417857
"LOC100252667",39.7590949785735,21.8617569920676,58.6443849461331,42.7446203198715
"LOC100247567",0,0.993716226912162,13.9156167668791,16.8990359404143
