ID,F1_A,F1_B,AF1_A,AF1_B
LOC100252430,3276.929359,2944.420549,2051.158295,1306.896104
LOC100257852,1363.162569,1148.603674,607.7506058,504.9876162
LOC100262983,258.6171337,296.6393837,493.7973672,535.3461093
LOC100268130,924.3476909,754.0832818,464.5177157,413.171686
LOC100245729,15.01647873,17.97814447,116.3272644,161.4183289
LOC100250876,58.3974173,38.95264634,201.0008514,273.9668886
LOC100256019,0.0,3.995143215,38.7757548,48.86976931
LOC100249229,161.8442708,159.8057286,877.5982056,1294.308436
LOC100261104,1313.10764,1515.158064,1283.556618,992.2044072
LOC100266310,1012.778066,1012.768805,524.6597027,489.4381441
LOC100243978,435.4778833,321.6090288,325.2415352,493.1403994
LOC100245665,95.10436531,76.90650689,356.1038706,407.9885286
LOC100249147,1555.039798,1724.903083,1213.918528,1324.666929
LOC100250805,96.77286295,83.89800751,576.8882704,1120.302439
LOC100254248,236.9266645,277.6624534,947.2362958,1252.102726
LOC100261036,88.43037476,61.92471983,288.0484642,469.4459658
LOC100266245,31.7014551,24.96964509,329.9895868,399.8435671
LOC100249074,6.673990548,1.997571607,79.9255354,99.96089177
LOC100259363,4493.264137,3708.491689,6186.711245,6852.134018
LOC100264539,488.8698077,479.4171858,2153.241404,3032.887501
LOC100254182,13.3479811,16.97935866,11.07878709,9.625863652
LOC100242257,28.36445983,34.95750313,208.9142708,228.7993745
LOC100247389,12799.04537,12146.23416,8590.808043,7618.500855
LOC100252502,80.08788658,100.8773662,350.5644771,516.094382
ZEP,1146.257877,1141.612174,755.7315476,713.7948123
LOC100262755,1049.485014,1092.671669,1339.741895,1505.336985
LOC100267903,3330.321284,3661.548756,4745.677582,4324.974584
LOC100245587,1147.926374,1324.389976,1125.288231,1291.346631
LOC100250717,14203.92038,11731.73805,3356.872487,2955.880592
LOC100247320,10047.69277,8491.676903,7319.912896,6225.71243
LOC100252439,457.1683526,412.4985369,260.3514965,259.1578676
LOC100255889,130.1428157,96.88222296,238.1939223,396.8817629
LOC100262990,16.68497637,12.98421545,63.30735477,62.93833926
LOC104879942,3.336995274,0.998785804,178.0519353,213.9903535
LOC104879921,53.39192439,35.95628893,258.7688126,355.4165041
LOC100266406,5329.181453,6609.964449,6344.18829,5895.471261
LOC100244066,946.0381602,848.9679332,658.3964897,572.3686618
LOC100249236,173.5237543,177.7838731,125.0320257,131.0598359
LOC100259450,133.479811,92.88707974,1672.105508,1971.821147
LOC100264623,1785.292472,1487.192062,1259.81636,1198.049799
LOC100242341,312.0090581,290.6466689,278.552361,359.1187593
LOC100260966,2809.750021,3377.893588,3566.5781,3603.775261
MAP1D,1626.785196,1585.07307,1368.230205,1315.781516
LOC100267994,28.36445983,22.97207349,53.81125156,71.08330081
LOC100244129,3041.671192,3566.664105,1630.955727,1232.850998
LOC100245674,10.01098582,33.95871733,7.913419347,17.03037415
