"","Row.names","CO_A","CO_B","A1_A","A1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","APX",18224.8208181923,22092.1292570346,8936.69447199632,5936.98651290354,13797.6577650317,1.43862476605911,0.287938986744962,4.99628335267206,5.84457664971265e-07,5.16813288139869e-06
"2","CBL04",5281.80741918476,5965.61004534998,1224.15027679558,1362.65229061448,3458.5550079862,2.1203533989652,0.243599673851023,8.70425384995356,3.19670825352198e-18,1.08914874110707e-16
"3","CHI4D",177.982591873884,200.674975713688,80.4839061854238,45.7532885899753,126.223690590743,1.58473215158058,0.485275139809015,3.26563638146447,0.00109218397561779,0.00438569595624344
"4","CIPK11",6045.44222677774,6357.02559203906,2394.64461613421,2366.24072946851,4290.83829110488,1.38132568038173,0.23131233496622,5.97169053082903,2.34807622789875e-09,3.10561950929298e-08
"5","CIPK13",22858.3341038476,25700.3050579857,5383.47905818057,7063.9099036088,15251.5070309057,1.96388567701867,0.256344404410971,7.66112169107531,1.84316105394696e-14,4.40480550451543e-13
"6","ETR1",2410.22236146533,2243.18858990845,1020.45644015346,1055.30954769487,1682.29423480553,1.16464508792785,0.24605800224328,4.7332136216255,2.20992686509895e-06,1.75144302039472e-05
"7","FLS1",1059.94102199754,1286.50541361003,293.120399070371,264.573364455075,726.035049783255,2.07293078134731,0.288757051654464,7.17880574507267,7.03229786777669e-13,1.44001470043711e-11
"8","GFH2",3079.39713426491,4108.86979976145,1233.09293303841,1016.51871606423,2359.46964578225,1.67596730075706,0.277906312474813,6.03069173144079,1.6325934870694e-09,2.21448625650235e-08
"9","GRIP32",51743.2184275142,74698.7761082358,33214.018914323,25763.08002299,46354.7733682658,1.10024941625034,0.285349179287176,3.85580017786925,0.000115351686156634,0.000612274607836659
"10","GRIP55",10150.9736337457,11238.7920804404,2904.37602197523,3874.10997952074,7042.06292892051,1.65788701206483,0.260603803318397,6.36171456806896,1.99513946546568e-10,3.03942318870413e-09
"11","HSP101",14158.0677412974,19080.0177403816,2622.18553609054,3039.60978110793,9724.97019971938,2.5535067396037,0.265037812531319,9.63449975388684,5.7169774459012e-22,2.54550629324122e-20
"12","HT7",3383.65787791524,5259.27386845675,1205.27133583851,1414.37339945532,2815.64412041646,1.72215166070083,0.300537455433778,5.73023970744404,1.002888105056e-08,1.20120267689903e-07
"13","LOC100232858",10906.6539120929,12717.0315054996,3922.84520518584,5288.48337897606,8208.75350043861,1.35875403005609,0.265731299737991,5.11326302695923,3.16640912712429e-07,2.94044530819967e-06
"14","LOC100232862",628.407810415054,717.26402210536,240.458090084846,429.683058062377,503.953245166909,1.00580048862022,0.367086738293449,2.73995321458926,0.0061447930659898,0.0192813435191372
"15","LOC100232913",23321.6854324131,27892.8281837288,10965.6838106461,13861.2571693456,19010.3636490334,1.04464686282322,0.255717868549525,4.0851539579484,4.40476005820436e-05,0.000260158156292773
"16","LOC100232921",4033.94064375613,5281.12955888102,826.698888225588,1831.12618030749,2993.22381779256,1.80932422218306,0.379302397487531,4.77013653002954,1.84101095440047e-06,1.47882082637425e-05
"17","LOC100232959",1630700.37033626,2093573.47422821,411867.944061899,230975.531079406,1091779.32992645,2.53442043729274,0.324756806830463,7.80405640155163,5.99483791541052e-15,1.50392886509739e-13
"18","LOC100232960",8819.5843012366,10638.754034247,2077.67713374964,3088.34697982333,6156.09061226413,1.91326407732273,0.287796115023518,6.6479843800754,2.9713382936898e-11,5.07467344485379e-10
"19","LOC100233020",20598.253481896,19517.1315488669,7154.12499425989,7520.44815280007,13697.4895444557,1.45083742634631,0.226261741994651,6.41220832809024,1.43426654038567e-10,2.23218797218973e-09
"20","LOC100233041",4432.66142219986,3826.73270519369,1320.53223852381,2272.7448788716,2963.16781119724,1.20073814104413,0.318941470455666,3.76476015906196,0.000166709019051569,0.000849550508911104
"21","LOC100233057",193.891650365404,190.740570975387,58.6240798140741,84.5441202206066,131.950105343868,1.42578670240101,0.449970968928441,3.16861931292228,0.00153164868083619,0.00588553294224804
"22","LOC100233070",7961.48945885022,8790.9547529229,3615.81400751552,3254.45131013911,5905.67738235694,1.28593386665599,0.23641178665552,5.4393813643892,5.34658976445457e-08,5.6878014530089e-07
"23","LOC100233104",31921.5258632356,38260.3729686201,10212.513429306,14816.1084094842,23802.6301676615,1.4875208716016,0.279029759352164,5.33104739456911,9.76479280711177e-08,9.92721123585909e-07
"24","LOC100233114",84152.9535232084,94424.530156607,21413.6871876799,25785.956667285,56444.2818836951,1.91970273558358,0.241266816780433,7.95676239775079,1.76599379610812e-15,4.67455313221794e-14
"25","LOC100233124",37119.8107253399,28386.5680992224,12979.7687222246,17086.8640149388,23893.2528904314,1.12347264012162,0.272923853746137,4.11643256791554,3.84781837605906e-05,0.000230025182706316
"26","LOC100233131",79015.321946603,93500.630515945,33165.3311192232,47866.8915954905,63387.0437943154,1.09016276007453,0.276100099683821,3.94843305497875,7.86644072332016e-05,0.000436334393742121
"27","LOC100240763",26088.8672937819,25006.8836072523,9672.97316932223,10280.5650188258,17762.3222722955,1.35655907126396,0.225630367769771,6.01230714053603,1.82901366059712e-09,2.45941370228293e-08
"28","LOC100240833",1649.57050233952,1855.7468051147,675.66736056899,801.677187033046,1245.66546376406,1.24654203461318,0.266227968252545,4.68223546457262,2.83763258196708e-06,2.19712280914687e-05
"29","LOC100240865",582.669267251933,797.732700485601,296.101284484646,388.90295301479,516.351551309242,1.01091203245907,0.332756272677722,3.0379954202641,0.0023815757400805,0.00862585655520209
