ID,CO_A,CO_B,AF_A,AF_B
LOC100246193,1295.972642,1428.404482,843.4536882,648.6838832
LOC100246093,11.45864405,13.81213037,67.90516981,63.20509631
LOC100241200,30.93833893,39.13436937,34.84607398,62.37345031
LOC100246029,11.45864405,17.26516296,17.86978153,35.76077818
LOC109123924,116.8781693,71.36267356,240.3485616,304.3824375
LOC104881507,24.0631525,9.208086911,29.48513952,37.42407019
LOC104881504,11.45864405,6.906065183,29.48513952,23.28608812
LOC104881503,134.0661353,82.8727822,367.2240104,499.8192485
LOC100258649,3368.84135,3245.850636,3389.897556,2766.886256
LOC100267293,1046.174201,1253.450831,659.3949385,805.864978
LOC100253505,1724.525929,1505.52221,1633.298032,1928.587084
LOC100248394,2000.67925,1667.814742,1546.629591,1480.329887
LOC100251790,126.0450845,123.1581624,163.508501,173.8140149
LOC100243269,1049.611795,1027.852701,843.4536882,994.6486209
LOC100246653,578.6615243,537.5220734,612.9335065,677.7914934
LOC100243262,3890.209654,3827.111122,3193.329959,2781.855884
LOC100265578,4339.3885,5685.993668,2206.918019,2163.111257
LOC100260366,4849.29816,5279.686833,3871.488169,3338.227061
LOC100243365,2332.979928,2472.371336,2137.225871,1821.304749
LOC100246648,486.992372,577.8074537,327.9104911,348.4596757
LOC100253500,485.8465076,526.0119648,494.0994593,429.9609841
LOC100260357,904.0870153,842.5399524,463.7208307,463.2268243
LOC100255274,545.4314566,549.0321821,377.0523903,370.9141178
LOC100255283,507.6179313,393.6457155,418.1528878,365.9242418
LOC100250118,4845.860567,6268.405165,2966.383734,2665.425443
LOC104877350,32.08420333,40.28538024,50.92887736,39.9190082
LOC100244247,1277.638811,1019.795625,1136.518105,1188.42214
LOC104881499,26.35488131,21.86920641,8.934890765,4.989876025
LOC100249412,2023.596539,2609.341628,621.8683973,587.9737249
LOC100259635,26970.21049,33603.76217,13996.50638,12434.77105
LOC100264817,1636.29437,1677.022829,1286.62427,1311.505748
LOC100242528,617.6209141,552.4852147,682.6256545,736.0067136
LOC100247660,2070.576979,2966.154996,1341.127104,1127.711982
LOC100261369,50.4180338,26.47324987,21.44373784,19.9595041
LOC100252768,9589.739202,11248.82917,11120.36505,8873.662864
LOC100242512,6947.375885,6445.660838,4689.924163,4802.755674
LOC100261475,1717.650743,1015.191582,2550.017824,2810.963494
LOC104881494,3.437593214,2.302021728,22.33722691,11.64304406
LOC104881493,0.0,1.151010864,125.0884707,193.773519
LOC100257920,1197.428303,1309.850363,1113.287389,892.3561624
LOC104877371,72.18945749,124.3091733,91.1358858,74.01649437
LOC109123846,9.166915237,33.37931505,49.14189921,69.85826435
LOC104881513,30.93833893,21.86920641,42.88747567,30.77090215
LOC100240893,38.95938976,31.07729333,86.66844042,64.86838832
LOC100242523,303.6540672,294.6587812,214.4373784,230.3659431
LOC104881490,21.77142369,18.41617382,41.9939866,34.09748617
LOC100240786,409.0735925,588.1665515,228.7332036,213.7330231
LOC100261268,483.5547788,485.7265846,150.1061649,106.4506885
LOC100263054,609.5998633,611.1867687,539.6674022,507.3040625
