ID,CO_A,CO_B,A1_A,A1_B
LOC100257247,202.0676917,187.1951008,254.2109789,434.930598
LOC100262358,4.231784119,3.137348058,420.7629996,349.5553325
LOC104878803,13.75329839,5.22891343,18.62752863,18.52482177
LOC100855164,532.146853,436.09138,497.464588,505.808177
LOC109121399,35.97016501,13.59517492,10.95736978,75.71014114
LOC100855200,270.8341836,206.0191891,610.3254968,516.2787284
LOC100852699,6068.378427,4274.113837,4684.275581,7054.735385
LOC100852729,4845.392816,5120.15203,2934.383627,3604.285974
LOC100852787,899.2541253,1046.828469,844.8132101,618.5679616
LOC100852815,267.6603455,145.3637933,837.1430512,700.721519
LOC100852857,1010.338458,858.5875852,1480.340657,1130.014128
LOC100855233,4151.380221,5795.727646,1427.745282,1921.748902
LOC100855265,70.882384,12.54939223,23.01047654,33.02250837
LOC100852891,488.7710658,158.9589683,164.3605467,296.3971483
LOC100855339,3826.59079,3672.788793,2183.803797,2424.33537
LOC100853135,6313.821906,5650.363852,4885.891185,5029.891823
LOC100853178,5793.312459,5554.151845,6093.393335,5559.862811
LOC100853221,46.54962531,55.42648236,85.46748429,84.5698385
LOC104878809,380.8605707,691.2623554,770.3030956,223.1032882
LOC100853292,5514.014707,6627.124881,4305.150587,3896.655987
LOC100853320,3886.893713,2462.818225,3107.51007,4632.010869
LOC100853345,2062.994758,2252.615906,2180.516586,2198.010374
LOC100852435,131.1853077,90.98309368,242.1578722,686.2238324
LOC100853383,6594.177604,8186.386866,2184.899534,2189.150677
LOC100853422,9454.863668,11455.50354,3965.472124,2508.099782
LOC100853459,688.7228654,801.0695374,1490.20229,848.1146661
LOC100853527,6605.81501,6821.64046,6316.923679,4758.462913
LOC100853559,1625.005102,1177.551304,1597.584514,1644.682002
LOC100853593,1348.881188,1522.659591,2248.452279,1216.19482
LOC100852464,842.1250397,737.2767936,597.176653,672.5315729
LOC100853635,123.7796855,99.34935517,302.4234059,426.0709007
LOC100853676,534091.3578,932889.3992,384076.6298,204708.1402
LOC104878810,248.617317,425.6335532,24.10621352,18.52482177
LOC100853747,1078.047004,1089.705559,2041.35799,1657.568835
LOC100853783,5062.271753,8457.244581,3185.307395,1839.595344
LOC100853861,914.0653697,870.0911947,1196.54478,1477.153179
LOC100853904,45.49167928,32.41926326,118.3395936,179.6102284
LOC100852509,74.05622209,62.74696116,186.2752863,176.3885203
LOC100853998,204.1835837,179.874622,126.0097525,73.29386004
LOC100852549,175.6190409,130.7228357,201.615604,238.4064019
LOC100252080,4112.236218,4052.407908,4106.822194,4708.526437
LOC100246943,3945.080745,3962.470597,2188.186745,2688.515437
LOC100241815,618.8984274,580.4093907,1322.554533,2200.426655
LOC100264093,202.0676917,65.88430922,4521.010771,5566.306228
LOC100258926,3993.746262,3730.306841,3964.376387,3396.4858
LOC109121453,80.40389826,55.42648236,82.18027335,32.21708134
LOC100253780,26366.13095,22099.47972,36249.17071,26145.77236
LOC100853810,1753.016571,1806.066699,2502.663258,1949.938848
LOC100248682,188.3143933,161.0505336,741.8139341,873.8883312
LOC100243540,771.2426557,727.8647494,1040.950129,811.8704496
LOC100248700,405.1933294,512.4335161,429.5288954,459.093409
LOC100265867,1475.834712,1468.278891,977.3973844,960.8744508
LOC100260655,18589.16969,25563.11198,8685.907025,7306.02862
LOC100260676,404.1353834,377.5275496,1215.172309,1256.466172
LOC104877300,458.0906309,163.142099,4791.657805,5231.248582
LOC100255605,1960.373993,1844.760658,2475.269833,2077.196319
LOC100255583,1790.044682,1628.283642,2252.835227,2137.603347
LOC100250399,1398.604651,1630.375207,1550.467824,1081.688506
LOC104878819,0.0,0.0,36.15932028,31.4116543
LOC100245274,2896.65623,3132.119144,7208.853579,8921.715249
LOC100267575,2417.406678,2448.177268,1974.518034,2127.132795
LOC100247075,625.2461036,735.1852282,625.6658145,529.970988
LOC100257308,13006.38849,19902.2903,7735.903065,4456.427776
LOC100253686,402.0194913,327.3299807,161.0733358,193.302488
LOC100252177,215.8209901,113.9903128,29.58489841,107.9272225
GT3,700.3602717,837.6719314,1477.053446,1651.125418
LOC100246123,160.8077965,48.10600355,1435.415441,1723.613851
LOC100254271,541.6683673,539.623866,707.8460878,595.2105777
LOC100249174,15.86919045,16.73252298,16.43605467,21.7465299
LOC100242426,2337.00278,2219.15086,2161.889058,2069.142049
LOC100264709,443.2793865,536.4865179,362.6889397,379.3561327
LOC104878826,27.50659677,23.00721909,13.14884374,19.3302488
LOC100259535,14.81124442,25.09878446,9.861632803,8.859697367
LOC100254416,92.04130459,77.38791876,122.7225415,185.2482177
LOC100247553,1722.336136,1601.093292,365.9761507,606.4865561
LOC100249018,57.12908561,56.47226504,487.6029552,548.4958097
LOC100242420,150.2283362,202.8818411,283.7958773,161.0854067
LOC100243866,956.3832109,1444.225889,248.732294,209.4110287
LOC100266190,571.2908561,543.8069967,943.4295381,1195.253718
LOC100260985,1534.021743,1749.594434,2803.990927,1877.450415
LOC100264703,3975.76118,4113.063304,2039.166516,1349.895708
LOC100255906,2430.10203,2443.994137,2581.55632,2280.163931
LOC104878825,31.73838089,31.37348058,133.6799113,150.6148552
LOC100254410,3609.711854,4219.733138,1438.702652,1934.635734
LOC100250741,271.8921297,160.004751,5277.069286,5236.081144
LOC100245609,6020.770856,4915.178624,3081.212382,3920.818798
LOC100267925,5283.382473,5540.55667,3230.232611,3118.613473
LOC100250734,181.9667171,152.6842721,67.93569264,144.976866
LOC100262780,317.3838089,239.4842351,1138.47072,916.575964
LOC100245601,326.9053232,421.4504224,700.175929,395.4646734
LOC100267918,708.82384,757.1466646,391.1781012,405.1297978
LOC100257657,728.9248145,373.3444189,2513.620628,2836.714012
LOC100252521,488.7710658,269.811933,7726.041432,5731.41877
LOC100242279,3662.609155,4345.22706,9424.433748,5371.392886
LOC100257649,373.4549485,222.7517121,184.0838123,281.8994617
LOC100264565,845.2988778,1332.327142,676.0697155,1091.35363
LOC100259392,611.4928052,648.3852653,608.1340228,592.7942966
LOC100254953,1500.16747,1673.252298,2098.336313,2743.284476
LOC100249808,2953.785315,3358.008205,2578.269109,2344.598094
LOC100242957,63.47676179,64.83852653,748.388356,248.8769533
LOC100265247,6.347676179,7.320478802,27.39342445,23.35738397
LOC100244673,417.8886818,466.4190779,536.9111193,607.2919832
LOC100249805,43.37578722,24.05300178,115.0523827,157.0582715
LOC100266991,16.92713648,11.50360955,39.44653121,77.3209952
LOC100251578,3.173838089,3.137348058,65.74421868,183.6373636
LOC100261805,5471.696866,6405.418951,3797.824366,3710.602343
LOC104878830,58.18703164,100.3951379,110.6694348,95.84581697
LOC100241306,551.1898815,408.9010302,313.3807757,832.8115525
LOC100256708,225.3425043,238.4384524,270.6470336,418.8220574
LOC100251585,427.410196,404.7178995,479.9327964,624.2059509
LOC100263572,253.9070471,266.6745849,259.6896638,218.270726
LOC100246442,153.4021743,143.272228,186.2752863,153.8365634
LOC100241311,4464.532246,3069.372183,15983.5153,7691.022742
LOC104878822,226.4004504,275.0408464,337.4869892,342.3064892
LOC100242868,284.587482,181.9661874,347.348622,831.2006984
LOC100265159,666.5059988,943.2959827,2074.230099,1119.543576
LOC100263403,404.1353834,316.8721538,590.6022312,720.0517678
LOC100258264,2267.178342,2866.490342,8472.238314,7063.595083
LOC100253136,8510.117864,9217.528594,3141.477916,3227.346123
LOC100248006,1446.212223,1766.326957,1754.274902,1555.279601
LOC100242874,809.3287128,752.9635339,907.2702178,1035.779165
LOC100265163,7279.726631,7956.314675,5314.324344,5815.988608
LOC100249727,46.54962531,28.23613252,18.62752863,21.7465299
LOC100266897,1988.938536,1633.512555,1297.352582,1312.040637
LOC100854891,17.98508251,38.69395938,357.2102548,343.9173433
LOC100259962,1524.500229,1363.700622,1188.874621,924.6302343
LOC100263484,1670.496781,1882.408835,1520.882926,1514.202823
LOC100254857,151.2862823,183.01197,246.5408201,138.5334497
LOC100253205,1023.033811,1204.741654,604.8468119,731.3277463
LOC100249733,1341.475566,1833.257048,696.888718,666.0881566
LOC100244584,281.4136439,318.9637192,592.7937051,514.6678743
TRNAP-UGG,34.91221898,38.69395938,14.24458071,14.4976866
LOC100251573,4146.090491,4764.585917,1562.520931,1643.876575
LOC100261713,1838.7102,2081.107545,1225.033941,1134.84669
LOC100256616,6041.929776,8026.382115,10234.18338,6642.356744
LOC100258425,45.49167928,58.56383041,141.3500702,244.0443911
LOC100251483,207.3574218,118.1734435,911.6531657,928.6573695
LOC100246340,72.99827606,85.75418025,110.6694348,49.13104904
LOC100241214,37.02811104,32.41926326,533.6239083,452.6499928
LOC100247999,31.73838089,16.73252298,16.43605467,7.2488433
LOC100265153,20.10097457,16.73252298,48.21242703,78.93184927
LOC100259955,680.2592972,590.8672176,1678.66905,1214.583966
LOC100258345,4215.914929,4456.080025,2541.014052,2557.230831
LOC100242950,7.405622209,2.091565372,361.5932028,405.1297978
LOC100256695,379.8026247,275.0408464,654.1549759,753.8797032
LOC100253211,102.6207649,77.38791876,3680.580509,4565.965852
LOC100246323,15.86919045,8.366261488,86.56322127,66.04501674
LOC100249719,4.231784119,3.137348058,6.574421868,33.02250837
LOC100855373,1092.858249,1057.286295,561.0173328,643.5361997
LOC100266130,286.7033741,333.6046768,170.9349686,190.0807799
LOC100855301,871.7475285,1006.042944,452.5393719,436.5414521
LOC100260013,80.40389826,19.86987103,6.574421868,38.6604976
LOC100265220,93.09925062,43.92287281,6232.551931,6722.094021
LOC100258330,546.9580974,622.2406981,329.8168304,266.596348
LOC100258322,331.1371073,445.5034242,451.443635,426.8763277
LOC100263474,332.1950534,562.631085,416.3800517,280.2886076
LOC100241199,3376.963727,3804.557411,979.5888584,632.2602212
LOC104878844,197.8359076,140.1348799,218.0516586,248.8769533
LOC100241185,857.9942302,1339.647621,358.3059918,404.3243708
LOC100246319,5514.014707,6414.830996,2717.427706,2817.383763
LOC100251465,658.0424305,768.6502742,929.1849574,684.6129784
LOC100256600,2106.370545,1794.563089,17072.67786,14779.58606
LOC100261697,1064.293706,967.3489845,815.2283117,897.2457152
LOC100266884,239.0958027,298.0480655,221.3388696,165.1125418
LOC100244565,842.1250397,695.4454862,865.6322127,993.8969592
LOC100249713,3588.552933,3290.03233,2057.794045,2653.882075
LOC109122371,29.62248883,81.5710495,74.51011451,13.69225957
LOC104878843,3.173838089,3.137348058,118.3395936,240.0172559
LOC100241273,1114.017169,1241.344048,610.3254968,792.5402008
LOC100260017,8.463568238,9.412044174,29.58489841,18.52482177
LOC100254836,425.294304,461.1901645,1536.223243,1638.238586
LOC100259947,3051.11635,2864.398777,1954.794769,2456.552452
LOC100261688,34.91221898,26.14456715,2.191473956,18.52482177
LOC100259936,1523.442283,1702.534213,990.5462282,814.2867307
LOC100265128,8.463568238,4.183130744,23.01047654,32.21708134
LOC100247990,44.43373325,42.87709012,78.89306242,8.054270334
LOC100253281,0.0,2.091565372,9.861632803,35.43878947
PR1,3.173838089,0.0,8.765895825,53.96361124
LOC100246312,20.10097457,3.137348058,37.25505725,65.2395897
LOC100256594,311.0361328,305.3685443,276.1257185,335.8630729
LOC100244559,2142.34071,1988.032886,1727.977214,1582.664121
LOC100261788,3589.610879,4448.759546,2109.293683,2139.214201
LOC100266970,1242.028639,1352.197013,793.3135721,958.4581697
LOC100244650,2372.972945,2321.637563,3099.839911,3063.039008
LOC100852573,386.1503009,371.2528535,138.0628592,258.5420777
LOC100253276,883.3849349,794.7948413,485.4114813,615.3462535
LOC104878838,33.85427295,15.68674029,82.18027335,54.76903827
LOC100254933,88.8674665,44.9686555,140.2543332,164.3071148
LOC100265235,797.6913065,638.9732211,530.3366974,947.1821912
LOC104878836,15.86919045,8.366261488,58.07405984,240.822683
LOC100242944,2041.835837,1821.753439,2592.51369,2524.208323
LOC100248069,658.0424305,504.0672546,431.7203694,3071.093278
LOC100232924,142.822714,200.7902757,456.9223199,471.1748145
LOC100260026,22.21686663,20.91565372,2.191473956,28.9953732
LOC100258336,64.53470782,76.34213607,134.7756483,132.8954605
GDH,789.2277382,671.3924844,2547.588474,2301.910461
LOC100241204,782.880062,453.8696857,711.1332988,918.9922451
LOC100253976,900.3120713,1114.804343,1228.321152,971.3450023
LOC109122291,31.73838089,30.32769789,28.48916143,16.9139677
LOC100244955,29.62248883,33.46504595,16.43605467,20.13567583
LOC104878854,687.6649194,933.8839386,308.9978278,163.5016878
LOC109122374,142.822714,393.2142899,126.0097525,43.4930598
LOC104878855,17.98508251,13.59517492,56.97832286,57.18531937
LOC100251149,4.231784119,15.68674029,8.765895825,20.13567583
LOC104878856,141.764768,145.3637933,278.3171924,228.7412775
LOC109122261,22.21686663,24.05300178,33.96784632,12.0814055
LOC104878858,66.65059988,44.9686555,139.1585962,251.2932344
LOC104878859,26.44865074,26.14456715,66.83995566,50.7419031
LOC100245631,1531.905851,1308.27414,852.4833689,1003.562084
LOC100267951,335.3688914,357.6576786,421.8587366,384.1886949
LOC100259417,282.47159,294.9107174,304.6148799,318.9491052
LOC100250922,769.1267637,715.3153572,399.943997,533.9981231
LOC100256074,701.4182177,648.3852653,542.3898041,732.9386004
LOC100250929,10212.35303,12616.32232,3641.133978,4550.662739
LOC100268096,4993.505261,4201.954832,3859.185637,3500.385887
LOC100245782,11555.94448,14745.53587,10924.49767,21794.85552
LOC109122331,123.7796855,208.1107545,61.36127077,78.93184927
LOC100268104,2528.491011,2303.859257,4000.535707,3617.172807
LOC100254138,5515.072653,6273.650333,3131.616283,4335.613721
LOC100262954,1447.270169,1318.731967,479.9327964,856.1689365
LOC100257829,1046.308623,1321.869315,1547.180613,1488.429158
LOC100267945,59.24497767,78.43370145,139.1585962,70.87757894
LOC100252683,965.9047252,1124.216387,940.1423272,836.8386877
LOC100247582,2573.98269,3097.608316,2090.666154,2254.390266
LOC100257670,16.92713648,30.32769789,24.10621352,8.054270334
LOC100264583,418.9466278,355.5661132,1686.339209,2590.253339
LOC100247569,81.46184429,89.93731099,101.903539,272.2343373
LOC100245618,253.9070471,235.3011043,5507.174052,6033.453907
